SongID,Genre,ReleaseMonth,ReleaseDayOfWeek,Explicit,MajorLabel,Collaboration,MusicVideo,ArtistFollowers_K,PlaylistPlacements,TikTokMentions_K,SongLengthSec,PriorArtistPopularity,RadioSpins_K,MonthlyStreams_M,PopularityScore
SNG0022,Pop,Jan,Fri,0,1,1,1,47.4,16,9.9,194,41.5,22.3,44.72,100
SNG0023,Hip-Hop,Jul,Fri,1,0,1,1,55.2,18,11.2,210,67,22.7,42.14,100
SNG0024,Hip-Hop,Oct,Fri,1,0,0,0,199.5,21,8.2,175,74.1,7.1,65.43,100
SNG0025,R&B,May,Sat,0,1,0,0,36.4,18,1.7,259,5,11.1,27.19,68.3
SNG0026,Country,Jun,Fri,1,1,0,1,40.3,11,2.7,185,74.4,19.7,46.48,91.1
SNG0027,Pop,Oct,Sat,1,1,0,1,39.1,13,4.3,249,82.9,22,34.3,82.4
SNG0028,R&B,Jul,Sat,1,0,1,0,73.3,16,1.5,200,77.7,22.2,24.33,79.1
SNG0029,Rock,May,Sun,0,1,0,0,22.9,11,6.7,155,95,4,44.37,88.6
SNG0030,Pop,Jul,Fri,0,1,0,0,25.9,14,19.5,169,75.4,23.1,65.26,100
SNG0031,Rock,Sep,Fri,0,1,0,0,55.6,20,16.9,211,48.3,39.9,32,83.8
SNG0032,Pop,Mar,Tue,0,1,0,1,27.1,15,10.7,238,80.3,29.8,35.52,100
SNG0033,Pop,Aug,Fri,0,0,0,1,28.7,21,10.5,262,47.3,3.8,47.56,89.6
SNG0034,Indie,Feb,Thu,1,1,0,1,27.2,18,40.2,209,59.5,3.1,25.48,60.7
SNG0035,Indie,Nov,Thu,0,1,0,0,36.9,19,11.7,167,73,13.1,41.14,95.9
SNG0036,Country,Jul,Wed,1,1,0,0,111.3,14,12.6,214,66.1,29.4,43.67,100
SNG0037,Hip-Hop,Feb,Sat,1,1,0,1,130.2,25,1.5,179,82.3,10.8,50.47,96
SNG0038,Pop,Apr,Sat,1,0,0,0,255.5,21,18.2,218,99,7.5,59.05,100
SNG0039,Latin,Jul,Fri,0,1,0,0,249,17,7.8,175,37.5,8.4,29.98,98.5
SNG0040,R&B,Mar,Fri,1,1,0,0,115.6,19,5.1,138,52.1,20.4,49.01,99.2
SNG0041,Pop,Feb,Fri,0,0,0,1,136.9,22,4.1,247,63.7,7,35.93,74.3
SNG0042,R&B,Nov,Fri,0,1,0,0,73.1,16,3.3,198,49.7,13.3,37.37,81.2
SNG0043,Pop,Oct,Fri,1,0,1,0,96,12,17,207,56.6,8.1,43.77,100
SNG0044,EDM,Jul,Thu,0,1,0,1,260,22,5.3,237,72,4.4,24.36,77.4
SNG0045,Hip-Hop,Jan,Thu,0,1,0,1,86.5,19,3.5,265,69.6,4.2,42.22,91.1
SNG0046,Latin,Aug,Fri,0,0,0,0,149.5,18,2.7,228,62.5,13.7,36.92,100
SNG0047,Hip-Hop,Mar,Fri,0,0,0,1,34.7,18,6.4,208,60.7,1,41.34,100
SNG0048,Rock,Dec,Fri,0,0,0,0,41.8,13,4,220,54,13.2,38.95,89.2
SNG0049,Rock,Dec,Sun,0,1,0,0,83,21,3.2,196,83.3,7.9,51.37,100
SNG0050,Pop,Feb,Tue,1,1,0,1,74.1,22,1.6,206,87.9,19.2,47.92,91.7
SNG0051,Indie,Mar,Thu,1,1,0,0,43.2,17,13,210,76.3,14.6,40.19,89.8
SNG0052,Country,May,Fri,0,1,0,0,359.7,20,4.8,180,37.3,9.4,33.94,60.6
SNG0053,Indie,Nov,Mon,0,0,1,1,75.2,20,2.1,206,53.3,3.8,35.56,90.7
SNG0054,EDM,Aug,Thu,0,1,0,1,48.9,17,4.3,217,61.6,4,44.35,100
SNG0055,Rock,Oct,Thu,0,1,1,0,74.2,12,9,222,41.1,5.4,25.98,71.8
SNG0056,EDM,Jul,Fri,1,0,0,0,67.9,19,5.6,219,59.4,18.1,27.51,83.2
SNG0057,Pop,Jul,Thu,0,1,0,0,76.1,15,6.5,162,58.4,37.2,40.77,99.1
SNG0058,Pop,Dec,Fri,0,0,0,0,21.9,18,5.7,244,77.5,11.8,54.72,100
SNG0059,Pop,Jul,Fri,1,1,1,0,164.7,20,1.7,242,49,5.6,44.85,100
SNG0060,Hip-Hop,Aug,Tue,1,1,0,0,171.4,22,12.9,202,78.9,6.1,57.72,100
SNG0061,Hip-Hop,Jan,Fri,1,0,0,1,186.6,18,1.2,220,40.8,6.4,39.66,85.7
SNG0062,Hip-Hop,Apr,Tue,0,1,0,0,83.7,15,8.3,198,43.3,20.7,41.56,71.9
SNG0063,Country,Jun,Sat,0,1,0,0,106,29,9.5,229,51.2,6.3,50.62,100
SNG0064,Hip-Hop,Sep,Sun,0,0,1,0,36.4,16,4.5,179,58.9,8.7,50,79.3
SNG0065,Hip-Hop,Feb,Thu,0,0,0,0,119.5,27,7.5,248,14.5,26.5,14.44,65.3
SNG0066,Rock,Jan,Sun,1,0,0,1,79.5,20,4.3,227,66.3,5.7,35.2,100
SNG0067,Pop,Oct,Sat,1,0,0,0,48.3,15,7.6,228,88.8,14.1,29.08,77.1
SNG0068,Country,Dec,Sun,1,1,0,1,122.2,14,13.4,202,69.7,18.5,43.42,85.4
SNG0069,Pop,Feb,Fri,1,0,0,1,125.5,21,2.7,160,54.2,9.5,34.14,66.5
SNG0070,Indie,Jul,Wed,0,0,0,1,69.6,19,10,233,38.5,43.1,38.77,69.4
SNG0071,Country,Mar,Sat,1,1,0,0,90.6,12,25.1,161,25.4,34.2,15.99,65.5
SNG0072,Pop,Oct,Wed,0,0,1,1,32.4,20,6.9,234,28.4,11.1,37.76,79.1
SNG0073,Pop,Feb,Wed,0,1,0,0,159.2,23,3.5,180,55.6,4.7,49.51,99.6
SNG0074,Country,Nov,Thu,0,1,1,0,35.5,22,42,154,95.9,4.9,43.47,100
SNG0075,Latin,Jul,Thu,0,0,0,0,40.7,21,5.9,205,9.1,10.7,33.86,85.5
SNG0076,Latin,Feb,Fri,0,1,0,0,69.7,20,6.7,243,70.6,3.8,48.06,100
SNG0077,Country,Mar,Fri,1,1,0,0,145.5,17,6.9,174,45.8,11.2,49.6,100
SNG0078,Pop,Nov,Sun,0,1,1,0,145.4,19,8.2,256,52,34.8,43.43,100
SNG0079,Hip-Hop,Jul,Tue,0,0,0,0,66.5,19,4,226,41.1,9.5,46.52,95.3
SNG0080,Pop,Apr,Sun,0,1,0,1,114.6,23,6.5,210,33.4,8.9,31.9,96.7
SNG0081,EDM,Jan,Sun,1,1,0,0,20.4,21,12.9,191,60.3,17.9,42.57,93.2
SNG0082,Rock,May,Mon,1,0,1,1,40.3,15,3.9,193,62.7,13.7,35.1,100
SNG0083,Hip-Hop,Dec,Thu,1,0,0,1,40.9,19,3.8,219,70,3.6,41.54,97.3
SNG0084,Pop,Sep,Sat,0,1,0,0,160.2,15,4.2,232,27.7,6.3,20.57,61
SNG0085,Hip-Hop,Aug,Fri,1,0,0,1,105.5,16,2,186,73.7,41.1,57.66,100
SNG0086,Hip-Hop,Dec,Fri,0,0,1,1,75.9,17,3,179,74.1,11.7,33.75,89.8
SNG0087,Latin,Sep,Fri,1,0,1,0,81.2,23,2.9,198,65.6,4,43,96.1
SNG0088,Rock,Oct,Fri,1,1,0,0,199.9,25,5.5,250,50.4,7.7,52.11,100
SNG0089,EDM,Sep,Mon,0,0,0,1,59.2,18,11.6,166,63.6,2.2,30.82,70.2
SNG0090,R&B,Jul,Fri,0,1,1,1,26.6,24,20.3,242,55.1,2,59.23,100
SNG0091,Pop,Apr,Mon,0,1,1,1,142.7,15,5.8,206,75.4,19.8,47.03,100
SNG0092,Latin,May,Fri,0,1,0,0,75.7,24,8.3,152,51.4,9,35.22,91.5
SNG0093,Country,Jan,Sat,0,0,1,1,130,16,6.8,190,59.9,13.7,21.54,77.1
SNG0094,Rock,Jan,Fri,1,1,0,0,64.6,13,0.8,225,26.7,22.8,37.35,77.8
SNG0095,Country,Mar,Sun,0,1,0,0,37.1,19,1.9,263,63.5,11.8,32.63,77.3
SNG0096,R&B,Aug,Fri,0,0,1,0,88.4,16,10.9,163,44.5,16.2,23.24,80.8
SNG0097,Rock,Feb,Fri,0,0,0,0,67.2,17,11.9,120,67.2,11.1,27.65,69.4
SNG0098,R&B,Apr,Fri,0,0,1,1,75.9,12,11.6,163,72.2,25.3,31.37,88
SNG0099,Pop,Feb,Sun,1,1,0,1,206.8,17,4.7,241,47,37.3,42.46,97.8
SNG0100,Pop,May,Fri,0,1,0,1,30.9,17,0.9,148,58.6,10.6,49.24,100
SNG0101,Pop,Sep,Tue,1,0,1,0,81.5,18,2.2,253,61.1,10.2,51.05,100
SNG0102,Rock,Jan,Sun,1,1,0,1,37.6,18,2.5,244,64.6,11.7,45.12,72.4
SNG0103,Hip-Hop,May,Fri,1,0,0,1,10.9,19,9.6,211,72.2,8.3,47.31,98.2
SNG0104,R&B,Sep,Mon,1,1,1,0,64.4,16,4,185,69.9,6.6,41.02,98.3
SNG0105,EDM,Jan,Fri,0,0,0,1,68.2,20,25.1,207,51.2,20.9,19.95,61
SNG0106,Hip-Hop,Sep,Sat,1,1,0,1,103.2,19,20.5,225,86.8,6.6,46.52,100
SNG0107,R&B,Aug,Fri,0,1,1,1,57.3,22,24.7,220,71.5,6.3,53.57,100
SNG0108,Latin,Apr,Thu,0,0,0,0,23.5,22,2.4,261,83.3,18.5,47.69,100
SNG0109,Hip-Hop,Dec,Sat,1,1,1,1,37.5,22,8.5,197,64.2,19.7,62.34,100
SNG0110,Pop,Nov,Fri,1,1,0,1,167.6,18,3.6,163,65.3,58.4,51.38,100
SNG0111,Hip-Hop,Oct,Fri,1,0,0,0,37.1,14,7.4,158,55.9,23.9,37.83,83.8
SNG0112,Pop,May,Tue,0,1,0,1,202,19,2.7,151,50,17.5,52.38,91.5
SNG0113,EDM,May,Wed,0,1,1,0,139.1,15,16.5,211,75.6,19.6,31.53,71.5
SNG0114,Country,Nov,Fri,1,1,0,1,53.4,15,2.7,198,62.8,8,48.4,86
SNG0115,Rock,Dec,Sat,0,1,0,1,40,20,0.9,206,55.6,14.2,44.26,90.7
SNG0116,EDM,Jun,Thu,1,1,0,1,138.9,10,34.1,188,39.6,14.7,55.95,72.5
SNG0117,Country,Jul,Thu,1,0,0,1,56.3,18,8.2,169,86,5.8,37.72,100
SNG0118,Pop,Aug,Mon,0,0,0,0,22.6,17,2.1,225,60,8.7,43.01,77.9
SNG0119,EDM,Aug,Fri,0,1,1,0,98.9,20,4.7,126,35.9,19.3,31.65,82.4
SNG0120,Rock,Nov,Mon,0,1,1,1,89.3,22,3.3,179,59.5,8.9,36.27,81.4
SNG0121,Country,Feb,Mon,0,0,0,0,147.9,27,5.5,230,54.4,14.7,40.06,95.8
SNG0122,EDM,Sep,Mon,1,0,0,0,85.2,20,11.3,176,53.6,18.5,23.7,55.8
SNG0123,Hip-Hop,Jul,Fri,0,1,0,0,45.4,16,9.8,218,68.4,17.8,37.89,96.3
SNG0124,Pop,Apr,Fri,1,0,0,0,162.2,22,6.9,179,54.4,36,56.76,100
SNG0125,Hip-Hop,Apr,Thu,0,0,1,1,173.6,19,5.5,190,52.5,5.7,39.18,85.6
SNG0126,R&B,Nov,Sun,1,1,1,1,78.5,22,14.5,223,82.5,33.6,48.36,100
SNG0127,Country,Aug,Wed,0,1,1,0,69.6,10,1,164,26.7,13.2,44.44,80.9
SNG0128,EDM,Apr,Thu,0,1,0,0,26.4,12,2.8,229,57.1,17.6,34.96,85
SNG0129,Pop,Jun,Sun,0,0,0,0,43.6,19,2.3,206,74.7,15.8,48.05,100
SNG0130,R&B,May,Fri,1,0,0,0,113.6,17,13.5,245,69.3,15.1,37.09,68.1
SNG0131,R&B,Mar,Fri,1,0,0,0,45.1,17,2.8,212,76.4,5.4,45.01,100
SNG0132,Hip-Hop,Oct,Tue,1,1,0,0,24.1,12,1.7,171,94.4,17.1,35.24,92.1
SNG0133,Pop,Nov,Sat,0,0,1,1,770.6,13,9,260,88.6,2.9,60.26,100
SNG0134,Hip-Hop,Feb,Fri,0,0,1,1,23.9,18,2.4,173,37.2,48.2,41.07,100
SNG0135,Indie,Sep,Sat,0,0,1,0,323.7,24,4,198,29,12.2,31.2,71.3
SNG0136,Hip-Hop,Oct,Wed,0,1,1,1,53.8,13,46.7,236,63.9,22.8,43.38,100
SNG0137,R&B,Sep,Fri,0,0,0,1,62.9,21,11.1,145,33.6,15.6,21.84,67.7
SNG0138,Latin,Jan,Fri,1,1,0,0,41.7,8,4.5,251,23.3,9.3,11.05,39.1
SNG0139,Hip-Hop,Oct,Sun,1,0,0,0,115.4,11,4.9,168,63.7,5.9,45.88,100
SNG0140,Indie,Mar,Mon,1,0,0,1,24.3,15,12.4,190,68.2,5,15.79,44.4
SNG0141,Indie,Aug,Sat,1,1,0,0,18.4,18,9.9,214,88.8,16.8,44.99,100
SNG0142,Hip-Hop,Jun,Thu,0,0,0,1,205.8,19,5.9,204,71.8,16.1,32.18,93.8
SNG0143,R&B,May,Fri,0,1,0,1,38,19,6,230,92.6,14.1,63.39,100
SNG0144,Hip-Hop,May,Thu,0,0,0,0,112.4,16,1.4,154,64.4,8.2,39.36,91.9
SNG0145,Hip-Hop,Jun,Fri,1,1,0,1,31.2,18,1.2,228,37.5,12.6,58.04,100
SNG0146,Pop,Jul,Thu,0,0,0,1,109.5,18,4.7,231,72.8,6.4,41.65,78.8
SNG0147,Rock,Jan,Thu,0,0,0,0,216.7,14,3.1,238,82,5.2,45.18,100
SNG0148,R&B,Sep,Mon,0,1,0,0,46.1,16,9.3,154,65,7.2,22.48,57.4
SNG0149,Pop,Mar,Tue,0,1,0,1,17.2,14,6.5,158,84.1,7.5,22.44,69.7
SNG0150,Hip-Hop,Apr,Sun,1,1,1,1,217.5,16,2.7,194,55.8,29.1,41.3,100
SNG0151,EDM,Oct,Sun,1,1,0,1,127.5,19,6.3,161,67.8,3,36.56,79
SNG0152,Hip-Hop,Jan,Fri,0,0,0,1,47.9,18,3.8,147,54.9,8.8,33.26,88
SNG0153,Pop,Nov,Thu,1,0,0,0,57.3,24,35.2,193,99,15,48.02,100
SNG0154,R&B,Oct,Thu,1,0,1,0,30.6,22,7.7,212,73.1,44.2,50.38,97.6
SNG0155,Indie,Mar,Fri,0,0,0,0,180.2,16,1.3,295,37.9,5.6,18.16,44.1
SNG0156,Hip-Hop,Feb,Sun,0,1,1,0,45.9,19,28.2,223,91.3,3.7,57.03,100
SNG0157,Latin,Feb,Fri,0,0,1,1,24.7,19,3.1,261,44.8,16.1,37.38,95.1
SNG0158,Country,Jan,Sat,0,0,1,1,77.4,12,2.3,204,58.2,10.3,31.22,83
SNG0159,Hip-Hop,Aug,Sun,1,1,0,1,36.5,14,37.7,223,66.4,7.6,51.49,100
SNG0160,Latin,Mar,Sat,0,1,0,1,32.4,23,7.5,200,67.9,12.8,27.98,100
SNG0161,Hip-Hop,Mar,Wed,1,1,0,0,49.3,17,10.3,291,66.7,18,37.33,76.6
SNG0162,Rock,Jun,Mon,0,0,0,0,70.8,15,10.6,183,37.6,16.3,28.25,62.4
SNG0163,Rock,Aug,Fri,0,0,0,0,25.4,10,4.5,187,66.8,11.5,50.07,100
SNG0164,Rock,Sep,Fri,0,0,1,1,175.8,26,3.3,230,77.8,25.9,49.47,100
SNG0165,Pop,Sep,Wed,0,1,1,0,107.1,17,3.8,212,77.3,10.6,59.53,100
SNG0166,Country,Apr,Thu,0,0,0,1,51.6,15,23.3,191,34.6,9.3,39.11,83.8
SNG0167,Hip-Hop,May,Fri,1,1,0,1,35.4,13,6.6,236,46.2,16,43.87,77.4
SNG0168,Pop,Feb,Fri,0,0,1,0,62.6,15,17.8,204,39.2,3.3,27.39,74.9
SNG0169,Pop,Nov,Thu,1,1,0,0,125.2,18,5.1,203,64.1,14.8,33.8,96
SNG0170,Rock,Sep,Fri,0,1,0,1,112.3,20,2.8,212,30.1,7.1,32.33,93.9
SNG0171,Latin,Aug,Fri,0,0,0,0,139.9,13,1.5,150,37.8,3.1,35.58,74
SNG0172,Pop,Mar,Fri,0,0,1,1,47.6,14,9.8,154,46,12.7,24.03,56
SNG0173,R&B,Nov,Tue,1,1,0,1,10,16,25.1,240,25.7,6.3,35.88,87.2
SNG0174,Hip-Hop,Dec,Fri,0,1,1,0,159.7,15,2.5,183,57.5,2.5,32.2,75.3
SNG0175,Latin,Sep,Fri,0,1,0,0,59.3,18,8.7,201,20.1,4.5,32.87,72.4
SNG0176,Pop,Mar,Mon,0,1,0,0,106.3,14,1.6,257,66.7,34.9,53.63,100
SNG0177,Latin,Sep,Fri,0,1,0,1,214.5,25,3.3,202,50.9,5.8,35.68,91.8
SNG0178,Hip-Hop,Feb,Thu,0,0,0,0,366.5,17,7,198,46.8,11.7,49.29,95.8
SNG0179,Indie,Dec,Thu,0,0,0,1,42.3,19,1.2,234,49.7,3.8,41.61,79.3
SNG0180,Pop,Oct,Fri,1,1,0,1,73.2,17,5.4,186,56.9,48.5,50.39,85.7
SNG0181,Hip-Hop,Sep,Thu,1,0,1,1,173.6,21,2.6,243,68.7,9.5,58.02,100
SNG0182,Pop,Aug,Thu,0,1,0,0,36.9,13,9.4,233,81.7,5.2,53.14,100
SNG0183,EDM,Sep,Sat,0,1,1,1,44.4,20,4.7,264,76.3,18.3,32.85,90.1
SNG0184,EDM,May,Tue,1,1,1,1,44.2,11,12.7,183,98.2,46.5,39.5,85.8
SNG0185,Hip-Hop,Nov,Sun,1,0,1,0,65.4,20,4.3,249,70.2,6.5,49.33,100
SNG0186,Latin,Nov,Fri,0,1,1,1,57.2,9,1.6,223,60.5,5.1,42.47,100
SNG0187,Country,Feb,Wed,1,1,0,1,44,22,1.4,163,49.8,56.6,30,75.7
SNG0188,Rock,Aug,Tue,0,1,0,1,33.9,20,1,122,50.4,8.2,18.18,69.4
SNG0189,Rock,Dec,Fri,0,1,1,0,117.7,12,9.7,179,67.7,7.5,45.37,100
SNG0190,Hip-Hop,Jun,Fri,1,1,1,1,170.1,13,54.7,214,40,1.6,43.66,100
SNG0191,Pop,Aug,Mon,0,0,1,0,188.3,19,8.1,219,62.1,8.8,58.14,100
SNG0192,EDM,Nov,Wed,1,0,0,1,47.6,19,24.7,203,57.7,3.1,26.82,64.2
SNG0193,EDM,May,Sat,1,0,0,1,121.2,16,15.2,203,44.9,5.8,33.1,67.8
SNG0194,Rock,Oct,Mon,0,1,0,0,78.7,17,3.4,201,39.1,1.8,27.01,61.1
SNG0195,Hip-Hop,Feb,Sat,0,1,1,0,44.7,20,17.1,238,99,24.2,60.4,100
SNG0196,Hip-Hop,Jun,Fri,0,1,0,1,111.5,16,3.6,159,32.9,2.8,44.52,100
SNG0197,Latin,May,Fri,0,1,0,0,43.3,18,3.6,214,56.8,1.9,37.06,98.9
SNG0198,EDM,Dec,Thu,1,0,0,0,51.2,21,4.5,179,80,4.4,48.27,100
SNG0199,EDM,Dec,Mon,0,1,0,0,25.4,22,4.7,176,67.5,24.5,37.96,69.2
SNG0200,Country,May,Sat,0,1,0,1,48.2,21,9.9,243,49.5,6.3,43.68,97.8
SNG0201,Latin,Jan,Tue,1,0,1,1,79.7,18,3,174,36.5,7,55.06,96.8
SNG0202,Pop,Feb,Thu,0,1,1,1,200,24,12.2,201,60.3,13.2,57.25,100
SNG0203,Pop,Aug,Fri,1,0,0,1,52.1,17,12,268,10.5,8,30.1,69.7
SNG0204,EDM,Mar,Wed,0,1,0,1,32.2,19,7.5,232,61.1,24.3,26.26,86.5
SNG0205,Rock,Oct,Fri,1,0,1,0,190.2,19,31.4,190,58.6,7.5,38.12,96.7
SNG0206,Pop,Mar,Sat,0,1,0,0,46.8,12,17.4,193,77.3,7.5,35.64,89.5
SNG0207,Pop,Aug,Fri,0,0,1,1,19.6,16,14.3,166,37.4,55.2,38.71,83.2
SNG0208,Latin,Aug,Sun,0,1,0,1,73.2,21,5.8,247,52.2,9.4,53.02,93.1
SNG0209,Pop,Feb,Sat,0,0,0,1,53.1,16,7.5,237,65.9,10.9,29.37,79.6
SNG0210,Pop,Aug,Thu,1,1,0,1,333.7,20,8.8,227,61.7,7.6,44.38,100
SNG0211,Rock,Nov,Thu,1,0,1,1,93,16,5.5,230,33.8,1.3,33.3,96
SNG0212,Latin,Jan,Fri,1,1,0,0,60.2,15,3.9,180,46.3,18.1,27.5,85.3
SNG0213,Latin,Jun,Fri,0,1,0,1,34.9,16,0.6,155,83.2,34.1,45.71,100
SNG0214,Hip-Hop,Aug,Thu,0,0,0,0,84,17,10.4,223,62.7,24.6,51.82,100
SNG0215,Latin,Mar,Sun,0,0,0,0,184.9,18,14,233,28,5.8,25.86,58.3
SNG0216,Hip-Hop,Aug,Fri,0,1,0,1,83,17,1.9,256,73.9,7.9,49.01,100
SNG0217,Hip-Hop,Dec,Thu,1,0,0,1,36.8,25,9.4,199,29.2,11.9,32.99,58.2
SNG0218,Latin,Jan,Fri,0,1,0,0,97.2,20,3.2,194,52.5,11.6,50.07,100
SNG0219,Latin,Nov,Thu,0,0,0,1,64.5,16,3.9,197,68.1,15.6,41.65,89.1
SNG0220,EDM,Nov,Sat,0,0,0,1,91.3,25,17.8,226,79.8,10.6,54.12,98.2
SNG0221,Latin,Sep,Fri,1,1,0,1,52,11,2.2,196,15.9,6.8,24.57,66.2
SNG0222,Rock,Nov,Mon,1,0,0,1,51.2,12,2.2,203,70.8,10.1,40.82,81.8
SNG0223,Pop,Sep,Wed,1,0,0,0,49.8,19,27.8,232,73.5,20.1,46.68,93
SNG0224,Hip-Hop,May,Sat,0,1,0,1,129,16,4.8,185,48,93,53.98,100
SNG0225,Hip-Hop,Oct,Fri,0,0,0,1,51.5,15,16.8,250,59.6,6.1,36.65,74.8
SNG0226,Hip-Hop,Apr,Sun,1,1,0,1,48.3,15,1.3,225,5,10.8,43.52,73.2
SNG0227,Indie,Nov,Mon,1,0,0,1,34.5,12,1.4,146,8.5,6.7,23.8,52.1
SNG0228,Hip-Hop,Jun,Thu,0,0,0,0,91.6,16,2.4,189,78,11.5,49.32,100
SNG0229,EDM,Dec,Wed,1,1,0,0,82.9,22,3.5,140,48.3,19.7,50.51,75.1
SNG0230,Rock,Jul,Fri,1,0,0,1,48.7,15,1.5,199,51.8,7.6,30.98,77.3
SNG0231,Country,May,Thu,1,0,1,0,40.6,16,7.6,189,62.2,1.8,32.3,81.3
SNG0232,R&B,Nov,Tue,1,0,0,1,248,16,8.1,232,51.4,20.5,22.37,72.1
SNG0233,Rock,Oct,Fri,0,1,0,0,17.9,19,2.4,177,49.7,10,37.26,74.9
SNG0234,R&B,Sep,Fri,0,1,0,0,94.2,13,2.6,217,65.1,6.9,33.59,59.1
SNG0235,Pop,Mar,Thu,0,0,0,0,164.7,22,3,223,31.1,5.7,33.5,93.7
SNG0236,Latin,Jul,Fri,1,1,1,1,10,19,1.9,213,78.9,11.6,62.74,100
SNG0237,Hip-Hop,Oct,Fri,1,1,0,0,116.3,16,0.5,241,53.9,5.2,44.93,84.3
SNG0238,Pop,Oct,Wed,1,0,0,1,57.2,16,5.1,271,39.9,5.7,28.64,87.8
SNG0239,Latin,Nov,Thu,0,1,0,0,79.8,15,3.7,209,37.5,3.3,36.61,84.4
SNG0240,Pop,May,Thu,1,0,0,1,53.2,15,4.1,218,58.8,5.2,21.72,74.9
SNG0241,Indie,Jul,Fri,1,0,0,0,141.6,19,2.2,177,52.5,14.9,46.05,79.3
SNG0242,Indie,Feb,Sat,1,0,0,0,86,20,11.4,172,30.1,3,34.89,75.3
SNG0243,EDM,Apr,Thu,1,1,1,1,73.1,14,48.6,238,47.2,22.7,54.14,84.1
SNG0244,Hip-Hop,Feb,Thu,1,1,0,1,35.5,20,2.6,234,43.4,3.5,43.36,100
SNG0245,Pop,Dec,Sat,0,1,0,0,249,9,19.3,172,80.7,10.2,29.96,96.9
SNG0246,EDM,Jul,Sun,0,0,0,1,67.2,17,7.6,163,60.3,13.3,45.51,100
SNG0247,R&B,Feb,Fri,0,1,0,0,331.2,25,5.7,184,86.2,17.5,54.3,100
SNG0248,Indie,Nov,Sun,0,0,0,0,257.1,18,4,200,45.2,17.5,26.78,61.1
SNG0249,Indie,Jan,Fri,1,0,0,0,19.2,26,5.1,192,52.8,8.4,43.82,100
SNG0250,EDM,Sep,Fri,1,0,0,0,42.2,22,15.4,210,65,7.9,29.78,66
SNG0251,Hip-Hop,Jan,Thu,0,1,0,0,32.3,16,2,234,68.9,14.5,43.34,91.4
SNG0252,Hip-Hop,Aug,Fri,0,1,1,0,64.5,24,4.3,220,71,11.3,43.31,100
SNG0253,EDM,Feb,Tue,1,0,0,1,76,13,16.8,222,42,6.8,21.9,64.3
SNG0254,Hip-Hop,Dec,Sat,0,1,0,0,78.3,9,13.3,127,42.5,12.1,52.48,95
SNG0255,Pop,Aug,Sun,0,1,0,1,139.5,20,2,153,51.6,7.9,41.46,94.4
SNG0256,Rock,Mar,Fri,0,1,0,0,189.7,16,4.6,180,84.7,5.6,44.36,100
SNG0257,Indie,Jun,Thu,0,0,0,0,131.3,14,10.5,185,40,6.7,26.09,81.3
SNG0258,Latin,Mar,Tue,0,0,0,0,45,20,9.9,232,48.5,13.3,35.18,70.1
SNG0259,Rock,Jul,Wed,0,0,0,1,38.6,25,13.2,177,71.1,4.3,53.16,100
