Summary,Precip_Type,Temperature_Celcius,Humidity,Wind_Speed,Wind_Bearing,Visibility,Pressure
Overcast,rain,11.0388888888889,0.66,21.413,311,9.982,1004.3
Overcast,rain,10.65,0.7,17.8549,310,14.9086,1004
Overcast,rain,10.05,0.7,15.1984,328,9.982,1004.39
Mostly Cloudy,rain,9.9,0.66,15.7297,348,11.0285,1005.48
Overcast,rain,8.79444444444444,0.71,12.3648,20,9.982,1005.89
Mostly Cloudy,rain,7.82777777777778,0.72,13.8943,28,15.8263,1006.37
Overcast,rain,7.85555555555556,0.72,9.8049,11,15.0052,1006.56
Mostly Cloudy,rain,7.31666666666667,0.75,6.6654,326,15.8746,1007.07
Overcast,rain,7.24444444444444,0.75,7.1162,309,15.8746,1007.37
Partly Cloudy,rain,5.43888888888889,0.88,3.7191,193,9.982,1012.23
Overcast,rain,7.2,0.76,14.4739,273,15.8263,1007.28
Overcast,rain,6.68888888888889,0.7,20.5275,300,15.8263,1007.18
Overcast,rain,6.21111111111111,0.73,19.3039,309,14.9569,1007.39
Overcast,rain,6.11111111111111,0.76,17.4363,300,9.982,1007.67
Overcast,rain,6.11111111111111,0.76,20.4148,300,9.982,1007.98
Overcast,rain,6.17222222222222,0.76,17.0499,307,9.982,1008.57
Overcast,rain,7.22222222222222,0.71,20.5114,319,9.982,1008.87
Overcast,rain,7.28888888888889,0.73,17.6456,328,9.982,1009.44
Overcast,rain,7.40555555555556,0.72,14.4095,318,9.982,1010.03
Overcast,rain,7.96111111111111,0.7,10.7548,321,10.0464,1010.22
Overcast,rain,8.03333333333334,0.7,4.8622,349,10.0464,1010.39
Overcast,rain,9.07777777777778,0.65,2.3828,348,10.0303,1010.24
Overcast,rain,9.05,0.62,0.322,243,9.982,1010
Overcast,rain,9.05,0.65,3.2522,177,11.2056,1009.98
Overcast,rain,9.18333333333333,0.65,3.0107,170,11.0285,1010.05
Overcast,rain,9.07222222222222,0.7,10.465,172,9.982,1010.1
Overcast,rain,7.98333333333333,0.75,7.3416,172,9.982,1010.39
Overcast,rain,8.07222222222222,0.75,9.5151,150,9.982,1010.91
Overcast,rain,7.89444444444445,0.82,9.9981,142,9.982,1011.32
Overcast,rain,7.31111111111111,0.83,13.685,141,11.9784,1011.61
Mostly Cloudy,rain,7.33888888888889,0.84,11.5437,141,14.168,1011.97
Mostly Cloudy,rain,6.62222222222222,0.85,12.719,142,14.9086,1012.22
Partly Cloudy,rain,6.06666666666667,0.88,12.8961,130,14.9086,1012.74
Partly Cloudy,rain,8.33888888888889,0.88,0.6923,359,15.0052,1015.35
Mostly Cloudy,rain,5.18333333333333,0.91,5.5384,166,9.982,1013.29
Mostly Cloudy,rain,3.72222222222222,0.94,5.2003,145,9.982,1013.39
Mostly Cloudy,rain,4.85555555555556,0.93,5.6189,170,5.9248,1013.45
Foggy,rain,5.21111111111111,0.92,4.7656,178,1.2236,1013.4
Overcast,rain,6.25555555555555,0.92,7.9212,223,7.2128,1013.81
Mostly Cloudy,rain,7.79444444444445,0.87,9.7566,240,10.6743,1014.7
Mostly Cloudy,rain,10.05,0.76,9.6922,231,11.2056,1014.67
Mostly Cloudy,rain,12.2,0.66,14.49,230,9.982,1014.66
Mostly Cloudy,rain,12.7,0.63,20.3343,214,11.0285,1014.8
Partly Cloudy,rain,13.9333333333333,0.58,23.5865,222,11.27,1014.47
Partly Cloudy,rain,15.0944444444444,0.59,22.2985,241,11.27,1014.16
Mostly Cloudy,rain,15.15,0.5,14.7154,235,11.4471,1014.07
Partly Cloudy,rain,16.1777777777778,0.44,14.49,238,11.27,1013.34
Partly Cloudy,rain,16.25,0.55,14.7154,211,11.27,1012.72
Partly Cloudy,rain,16.2944444444444,0.5,19.5937,221,11.4471,1012.38
Partly Cloudy,rain,16.1,0.56,14.8281,215,11.1251,1012.38
Partly Cloudy,rain,12.9555555555556,0.68,11.9784,224,11.27,1012.72
Mostly Cloudy,rain,13.85,0.64,11.5598,231,11.4471,1013.42
Mostly Cloudy,rain,12.7777777777778,0.69,14.2485,358,10.0464,1014.41
Mostly Cloudy,rain,12.15,0.72,11.2539,8,15.8746,1014.89
Mostly Cloudy,rain,10.6777777777778,0.81,5.7799,59,15.0052,1014.91
Mostly Cloudy,rain,10.4444444444444,0.83,2.6404,63,15.8746,1014.75
Mostly Cloudy,rain,9.82222222222222,0.8,5.313,65,15.8746,1015.55
Mostly Cloudy,rain,11.0277777777778,0.74,11.3827,146,14.9569,1015.7
Mostly Cloudy,rain,7.13888888888889,0.93,3.6547,305,14.9086,1016.43
Mostly Cloudy,rain,7.62222222222222,0.89,10.8675,327,14.9086,1016.56
Mostly Cloudy,rain,7.62777777777778,0.86,6.5205,319,13.3791,1017.15
Mostly Cloudy,rain,7.04444444444444,0.86,11.3988,271,9.982,1017.37
Partly Cloudy,rain,8.6,0.84,9.66,297,9.982,1018.25
Partly Cloudy,rain,9.65,0.84,15.9551,289,9.982,1019.24
Partly Cloudy,rain,12.1055555555556,0.72,13.1698,310,9.982,1019.83
Partly Cloudy,rain,12.7777777777778,0.71,13.1698,301,11.2056,1020.51
Partly Cloudy,rain,13.8111111111111,0.65,9.6761,307,11.4471,1020.91
Partly Cloudy,rain,16.0166666666667,0.48,11.2378,307,11.27,1020.6
Partly Cloudy,rain,17.1277777777778,0.47,12.7029,308,11.27,1020.39
Partly Cloudy,rain,17.1444444444444,0.43,10.6099,279,11.4471,1020.34
Mostly Cloudy,rain,17.7777777777778,0.4,7.9534,272,11.2056,1019.7
Mostly Cloudy,rain,17.7777777777778,0.37,2.5921,351,11.2056,1018.89
Mostly Cloudy,rain,17.8055555555556,0.43,11.0124,175,10.3523,1018.48
Mostly Cloudy,rain,16.1555555555556,0.52,9.1931,172,9.982,1017.87
Mostly Cloudy,rain,14.05,0.63,9.1609,160,9.982,1017.56
Mostly Cloudy,rain,13.0888888888889,0.67,9.2736,138,9.982,1017.38
Mostly Cloudy,rain,12.2888888888889,0.72,9.4507,141,9.982,1017.58
Overcast,rain,12.7777777777778,0.66,11.0768,141,15.8263,1017.65
Overcast,rain,12.7277777777778,0.67,13.3791,149,14.9569,1017.36
Overcast,rain,12.2666666666667,0.69,14.1358,151,15.8263,1016.8
Overcast,rain,11.7111111111111,0.71,11.3183,158,15.8263,1016.64
Partly Cloudy,rain,10.8277777777778,0.86,9.177,259,14.168,1013.13
Overcast,rain,12.2,0.59,14.168,141,15.8263,1014.79
Overcast,rain,12.2,0.6,14.2968,151,15.8263,1014.25
Overcast,rain,11.6888888888889,0.68,13.8299,152,14.9569,1013.95
Overcast,rain,11.2055555555556,0.77,14.007,132,9.982,1013.63
Mostly Cloudy,rain,11.1333333333333,0.77,15.4882,150,9.982,1013.27
Mostly Cloudy,rain,11.4388888888889,0.77,13.8782,163,10.3523,1013.56
Mostly Cloudy,rain,13.0333333333333,0.81,14.4578,209,9.982,1012.85
Mostly Cloudy,rain,17.2444444444444,0.62,25.0194,221,11.27,1012.15
Mostly Cloudy,rain,17.7388888888889,0.53,27.37,230,11.4471,1011.71
Overcast,rain,17.8444444444445,0.56,22.218,251,11.27,1011.28
Mostly Cloudy,rain,18.8611111111111,0.56,23.5382,250,11.27,1010.99
Overcast,rain,18.6666666666667,0.56,19.8996,240,11.3988,1010.93
Overcast,rain,17.8222222222222,0.56,17.5007,243,11.27,1010.7
Overcast,rain,17.8,0.59,17.6939,281,11.27,1010.52
Mostly Cloudy,rain,17.35,0.57,19.5615,295,11.3988,1010.69
Mostly Cloudy,rain,16.0666666666667,0.67,21.8155,280,11.2056,1010.86
Mostly Cloudy,rain,14.9333333333333,0.73,17.2753,280,11.2056,1011.14
Mostly Cloudy,rain,13.9222222222222,0.78,11.7691,279,11.2861,1011.64
Mostly Cloudy,rain,12.7555555555556,0.84,11.0446,270,11.0768,1012.02
Mostly Cloudy,rain,12.7555555555556,0.84,11.0607,277,15.6975,1012.21
Mostly Cloudy,rain,12.3722222222222,0.86,7.2933,239,14.8764,1012.33
Mostly Cloudy,rain,11.1833333333333,0.93,6.923,241,15.8263,1012.6
Mostly Cloudy,rain,11.6666666666667,0.9,11.1734,242,15.8263,1012.8
Partly Cloudy,rain,8.97777777777778,0.95,10.3201,266,6.8425,1012.66
Mostly Cloudy,rain,10.5777777777778,0.93,11.1734,278,14.9086,1012.32
Mostly Cloudy,rain,10.5333333333333,0.89,14.007,269,14.9086,1012.33
Mostly Cloudy,rain,10.5888888888889,0.87,7.2933,269,14.168,1012.55
Mostly Cloudy,rain,9.98333333333333,0.89,6.7298,297,15.8263,1012.71
Mostly Cloudy,rain,11.0222222222222,0.86,7.889,307,9.982,1013.01
Partly Cloudy,rain,13.5388888888889,0.75,11.8657,305,9.982,1013.23
Partly Cloudy,rain,13.8888888888889,0.68,20.0123,308,11.2056,1013.31
Partly Cloudy,rain,15,0.67,17.5812,300,11.2056,1013.4
Partly Cloudy,rain,17.1833333333333,0.57,15.9551,319,11.4471,1013.27
Mostly Cloudy,rain,16.2,0.62,16.3093,309,11.27,1013.02
Mostly Cloudy,rain,17.75,0.56,17.7744,290,11.2056,1013.03
Mostly Cloudy,rain,18.4055555555556,0.54,19.0785,297,15.3594,1012.55
Partly Cloudy,rain,17.8222222222222,0.59,17.5973,319,11.27,1012.03
Partly Cloudy,rain,17.3111111111111,0.57,20.3343,310,11.27,1011.81
Partly Cloudy,rain,17.5055555555556,0.55,13.7172,316,11.4471,1011.33
Mostly Cloudy,rain,17.2666666666667,0.54,14.3773,309,9.982,1011.2
Mostly Cloudy,rain,15.1388888888889,0.61,10.8997,310,9.982,1011.5
Mostly Cloudy,rain,13.25,0.69,4.7173,325,9.982,1011.76
Partly Cloudy,rain,12.2944444444444,0.72,4.669,282,9.982,1012.01
Partly Cloudy,rain,10.7,0.79,3.5742,281,15.8263,1012.31
Partly Cloudy,rain,9.85555555555556,0.85,5.7477,274,14.9569,1012.51
Partly Cloudy,rain,9.52222222222222,0.88,11.27,280,11.9784,1012.52
Partly Cloudy,rain,8.40555555555556,0.92,3.1234,255,11.9784,1012.61
Mostly Cloudy,rain,13.0111111111111,0.82,9.6278,46,14.9569,1011.27
Partly Cloudy,rain,7.73333333333333,0.96,3.4293,277,4.2987,1012.54
Partly Cloudy,rain,6.13888888888889,0.96,3.3488,284,4.1216,1012.44
Partly Cloudy,rain,6.47222222222222,0.95,2.9946,283,4.7656,1012.62
Foggy,rain,6.62777777777778,0.96,3.3005,313,2.9302,1012.75
Clear,rain,8.68888888888889,0.93,1.4329,290,5.8443,1012.96
Partly Cloudy,rain,11.9944444444444,0.81,2.415,345,9.6117,1013.38
Partly Cloudy,rain,13.7666666666667,0.78,4.1538,16,9.6761,1013.14
Partly Cloudy,rain,15.0888888888889,0.77,7.3738,332,9.9015,1013.33
Partly Cloudy,rain,16.4555555555556,0.68,7.8085,350,11.0768,1013.56
Partly Cloudy,rain,17.3111111111111,0.62,7.3738,330,11.27,1013.61
Partly Cloudy,rain,17.8722222222222,0.64,8.372,12,11.27,1013.11
Partly Cloudy,rain,19.0388888888889,0.47,7.0679,39,11.4471,1012.69
Partly Cloudy,rain,18.9777777777778,0.51,10.8675,3,11.27,1012.2
Partly Cloudy,rain,19.0055555555555,0.55,4.8139,9,11.2056,1011.7
Mostly Cloudy,rain,19.0111111111111,0.53,4.7978,33,11.3988,1011.4
Mostly Cloudy,rain,17.8666666666667,0.64,10.9319,24,11.2056,1011.32
Mostly Cloudy,rain,17.2666666666667,0.62,10.8514,33,9.982,1011.23
Mostly Cloudy,rain,16.1888888888889,0.61,5.0876,25,10.3523,1011.5
Mostly Cloudy,rain,14.8833333333333,0.72,9.177,32,9.982,1012.05
Mostly Cloudy,rain,14.3277777777778,0.75,10.9319,31,15.8263,1012.15
Overcast,rain,14.5111111111111,0.75,6.3756,47,14.9569,1012.09
Overcast,rain,14.3722222222222,0.75,6.5366,67,15.8263,1011.83
Overcast,rain,14.8777777777778,0.72,14.2163,60,15.8263,1011.45
Foggy,rain,10.4055555555556,0.92,3.6064,144,2.0125,1012.05
Overcast,rain,12.8222222222222,0.83,8.4364,57,11.2056,1011.18
Overcast,rain,12.8,0.85,14.4256,31,14.9086,1010.07
Overcast,rain,12.8277777777778,0.86,13.8943,12,14.168,1009.83
Overcast,rain,12.2666666666667,0.85,15.778,12,11.2056,1009.8
Overcast,rain,12.2666666666667,0.85,15.5848,2,11.27,1009.99
Mostly Cloudy,rain,12.1833333333333,0.82,12.3809,11,11.0768,1010.21
Overcast,rain,12.1722222222222,0.8,20.3826,11,11.27,1010.41
Overcast,rain,12.7111111111111,0.83,22.0892,19,11.27,1010.33
Mostly Cloudy,rain,15.6055555555556,0.78,22.3468,18,10.3523,1010.43
Mostly Cloudy,rain,16.0222222222222,0.78,18.0642,20,11.2056,1010.29
Mostly Cloudy,rain,17.2,0.67,17.6456,48,11.2056,1010.1
Overcast,rain,17.2166666666667,0.71,14.0875,46,11.0285,1009.96
Mostly Cloudy,rain,17.8277777777778,0.69,13.4113,29,11.2056,1009.86
Mostly Cloudy,rain,17.8277777777778,0.69,14.6188,19,11.2056,1009.47
Partly Cloudy,rain,17.7333333333333,0.69,9.2414,340,11.0285,1009.63
Mostly Cloudy,rain,16.2722222222222,0.71,23.0713,39,11.2056,1009.39
Overcast,rain,13.1666666666667,0.93,3.7674,335,5.2164,1011.07
Overcast,rain,13.2555555555556,0.93,3.1395,228,8.05,1011.23
Overcast,rain,13.0111111111111,0.93,10.3362,274,9.982,1011.35
Mostly Cloudy,rain,12.4555555555556,0.91,5.796,310,14.9086,1011.67
Mostly Cloudy,rain,12.4888888888889,0.9,9.8854,315,14.5866,1011.76
Mostly Cloudy,rain,9.55555555555556,0.8,6.4883,146,15.8263,1015.68
Mostly Cloudy,rain,10.6222222222222,0.79,14.0231,160,15.8263,1015.41
Partly Cloudy,rain,8.72222222222222,0.93,4.5724,40,11.3988,1014.98
Mostly Cloudy,rain,10.5333333333333,0.77,10.7709,143,15.8263,1015.18
Mostly Cloudy,rain,9.44444444444444,0.83,6.5366,133,15.8263,1014.7
Mostly Cloudy,rain,9.88888888888889,0.83,6.0858,163,14.9569,1014.64
Mostly Cloudy,rain,10.3666666666667,0.78,10.7065,136,15.8263,1014.31
Partly Cloudy,rain,8.88888888888889,0.89,10.4972,158,11.2056,1014.63
Partly Cloudy,rain,9.97777777777778,0.84,8.0017,151,11.0285,1014.82
Mostly Cloudy,rain,12.2,0.73,2.4633,355,9.982,1014.82
Mostly Cloudy,rain,13.9611111111111,0.67,9.3058,123,9.982,1015
Mostly Cloudy,rain,14.9444444444444,0.67,7.1645,132,10.3523,1014.9
Mostly Cloudy,rain,16.1833333333333,0.71,11.753,199,9.982,1014.35
Partly Cloudy,rain,16.3666666666667,0.61,7.1323,227,11.27,1014.51
Partly Cloudy,rain,17.3722222222222,0.57,3.6225,251,11.4471,1014.32
Partly Cloudy,rain,17.6722222222222,0.51,1.7549,156,11.27,1013.93
Partly Cloudy,rain,17.7222222222222,0.53,8.6779,113,11.27,1013.45
Partly Cloudy,rain,16.2388888888889,0.61,2.8336,261,11.3988,1013.43
Mostly Cloudy,rain,14.0666666666667,0.71,9.2414,357,11.2056,1013.58
Partly Cloudy,rain,13.9555555555556,0.76,7.4221,147,11.2056,1013.24
Partly Cloudy,rain,12.2888888888889,0.8,3.542,161,11.0285,1013.7
Partly Cloudy,rain,10.0222222222222,0.86,3.1073,149,9.9015,1014.14
Partly Cloudy,rain,9.37777777777778,0.86,6.44,190,15.6009,1014.34
Partly Cloudy,rain,9.41666666666667,0.9,4.6046,138,14.7154,1014.6
Partly Cloudy,rain,11.8277777777778,0.92,3.0268,311,15.8263,1011.68
Foggy,rain,10.7611111111111,0.91,5.1681,178,0.6118,1011.98
Mostly Cloudy,rain,12.1555555555556,0.95,2.8497,298,3.6386,1015.64
Foggy,rain,9.67222222222222,0.94,5.7155,123,0.6118,1012.26
Foggy,rain,8.15,0.94,6.762,10,0.6118,1012.63
Foggy,rain,10.2,0.95,5.6189,133,1.1109,1012.62
Foggy,rain,10.1166666666667,0.99,2.254,127,0.5152,1012.85
Foggy,rain,10.1611111111111,0.99,0.3381,81,0.4347,1013.61
Foggy,rain,11.2444444444444,0.98,2.7531,358,0.6923,1013.9
Foggy,rain,12.2444444444444,0.99,2.254,152,2.2057,1014.31
Overcast,rain,13.9111111111111,0.92,8.0983,135,4.2021,1014.43
Partly Cloudy,rain,15.6166666666667,0.82,2.2862,153,6.3112,1014.73
Partly Cloudy,rain,15.0722222222222,0.86,3.2844,120,6.3434,1014.92
Partly Cloudy,rain,15.0722222222222,0.82,7.5992,162,8.1949,1014.73
Overcast,rain,14.2666666666667,0.87,10.5616,134,6.8908,1014.92
Mostly Cloudy,rain,16.0166666666667,0.81,6.6654,115,7.2772,1014.76
Overcast,rain,15.0277777777778,0.86,7.7119,139,7.2772,1014.37
Overcast,rain,13.9444444444444,0.89,7.2772,152,6.3112,1014.83
Overcast,rain,12.9166666666667,0.95,11.4793,310,4.7495,1015.11
Overcast,rain,12.8944444444444,0.95,5.2808,347,5.2164,1015.14
Overcast,rain,12.4,0.98,2.3506,72,5.8282,1015.5
Clear,rain,12.2666666666667,0.99,8.05,320,6.1985,1015.76
Mostly Cloudy,rain,12.2222222222222,0.96,6.1985,349,6.1985,1016.35
Mostly Cloudy,rain,11.25,0.96,2.7692,335,3.8318,1016.38
Mostly Cloudy,rain,11.5277777777778,0.96,3.1556,358,4.508,1016.43
Foggy,rain,11.5388888888889,0.96,5.9892,301,3.1234,1016.56
Foggy,rain,9.43888888888889,0.96,5.9731,326,1.8032,1017.23
Overcast,rain,11.4388888888889,0.96,6.279,340,3.8801,1016.17
Overcast,rain,11.3944444444444,0.96,6.44,350,3.864,1016.25
Overcast,rain,11.5277777777778,0.96,6.4239,332,3.2522,1016.13
Foggy,rain,11.95,0.93,4.83,340,0.644,1016.17
Foggy,rain,11.9722222222222,1,9.66,10,1.2558,1016.45
Foggy,rain,12.6333333333333,0.96,7.6636,7,2.3506,1016.94
Overcast,rain,12.7555555555556,0.96,7.9695,1,4.025,1017.06
Overcast,rain,13.8444444444444,0.9,7.9212,30,4.4919,1017.45
Overcast,rain,13.1722222222222,0.94,10.3845,8,6.2629,1017.77
Mostly Cloudy,rain,15.0666666666667,0.86,8.1466,345,6.1985,1017.73
Partly Cloudy,rain,17.2444444444444,0.75,7.1645,308,11.27,1017.53
Partly Cloudy,rain,16.3166666666667,0.76,13.3469,352,11.0285,1017.31
Partly Cloudy,rain,17.3833333333333,0.74,13.6206,353,11.27,1016.82
Mostly Cloudy,rain,15.2722222222222,0.76,8.2754,85,11.27,1016.6
Partly Cloudy,rain,17.4555555555556,0.72,5.2808,49,11.0768,1016.39
Partly Cloudy,rain,16.2222222222222,0.77,11.1573,21,11.27,1016.33
Partly Cloudy,rain,15.0833333333333,0.82,3.6869,23,11.27,1016.52
Partly Cloudy,rain,13.9944444444444,0.88,1.1431,35,9.6278,1016.81
Partly Cloudy,rain,12.1722222222222,0.92,0.6601,30,8.1305,1017.34
Foggy,rain,11.0888888888889,0.95,4.8461,56,1.0626,1017.54
Foggy,rain,11.0944444444444,0.95,3.381,11,1.7871,1017.43
Foggy,rain,9.88333333333333,0.96,3.3649,349,1.0626,1017.65
Clear,rain,9.35555555555556,0.96,6.4239,321,3.3649,1017.56
Clear,rain,9.86111111111111,0.96,3.2361,319,4.4597,1016.16
Foggy,rain,8.27222222222222,0.99,3.3166,313,1.9159,1017.16
Foggy,rain,8.86666666666667,0.96,2.6243,337,1.7549,1017.15
Foggy,rain,8.81666666666667,0.96,3.9445,335,2.3667,1017.28
Foggy,rain,7.15555555555556,1,1.8515,319,0.2898,1017.15
Foggy,rain,8.85,0.99,3.4776,295,1.7549,1017.36
Foggy,rain,11.1777777777778,0.93,2.8819,285,2.5599,1017.7
Mostly Cloudy,rain,12.3888888888889,0.98,3.4293,349,6.2951,1017.72
Mostly Cloudy,rain,14.1444444444444,0.88,4.8783,339,9.982,1017.82
Partly Cloudy,rain,17.1,0.72,3.059,308,11.0768,1017.77
Partly Cloudy,rain,18.9388888888889,0.64,4.2021,306,11.27,1017.3
Partly Cloudy,rain,17.9166666666667,0.68,4.0894,6,11.27,1016.9
Partly Cloudy,rain,19.9833333333333,0.53,1.2236,72,11.1412,1016.4
Partly Cloudy,rain,20.0722222222222,0.62,9.0643,352,11.27,1015.9
Partly Cloudy,rain,20.0722222222222,0.56,9.4829,2,11.27,1015.29
Partly Cloudy,rain,20.0833333333333,0.58,7.4865,15,11.3988,1014.9
Partly Cloudy,rain,19.0888888888889,0.63,9.1287,23,11.2056,1014.68
Partly Cloudy,rain,17.45,0.62,7.567,24,11.2056,1014.78
