fraud,transaction_amount,transaction_hour,num_transactions_24h,distance_from_home,merchant_risk_score,is_international,card_present,online_order,new_device,account_age_days,customer_tenure_months,prior_chargebacks,failed_login_attempts,billing_shipping_mismatch,high_risk_country,merchant_category_risk,weekend_transaction,customer_avg_transaction_amount,amount_to_avg_ratio,days_since_last_transaction,num_cards_on_account,ip_risk_score,velocity_score,browser_language_risk,screen_resolution_score,customer_age,loyalty_points_balance,email_domain_age_days,app_version_score,random_marketing_score
0,37.59,16,9,60.14,22.27,0,1,0,0,170,5.7,1,2,0,0,8.0,0,72.82,0.52,62,2,50.67,100.0,6.3,3.22,39,2835,4637,3.86,22.29
0,65.6,16,2,4.65,56.8,0,1,0,1,3533,117.8,1,1,0,0,8.75,0,27.36,2.4,64,2,79.79,34.54,4.73,6.6,47,41256,4173,7.93,72.38
0,56.62,3,2,67.59,75.51,0,1,0,0,289,9.6,0,0,0,0,8.06,0,58.12,0.97,79,1,72.52,21.99,6.25,2.85,45,35073,3815,5.32,95.36
0,84.61,20,3,37.55,71.89,0,1,0,0,1782,59.4,2,1,0,0,2.25,1,32.07,2.64,86,2,88.74,54.01,3.93,6.3,52,46049,3916,6.19,18.79
0,126.92,11,2,30.48,2.31,0,1,0,0,2553,85.1,0,0,0,0,7.34,1,24.98,5.08,9,1,59.32,36.08,5.35,1.97,35,23087,2140,2.55,22.01
0,40.69,19,2,14.3,50.75,0,1,0,0,1947,64.9,0,2,0,0,4.92,1,38.53,1.06,76,2,62.31,22.62,8.14,8.75,59,19003,2241,1.72,41.41
0,15.21,23,2,25.82,6.38,1,0,1,0,1245,41.5,1,2,0,0,7.85,0,22.29,0.68,75,2,11.52,42.02,5.03,2.84,25,20022,808,3.81,23.94
0,140.87,13,2,5.28,2.04,1,1,0,0,3588,119.6,0,0,1,0,4.63,1,33.6,4.19,71,2,57.73,28.85,5.1,2.41,74,22272,4475,3.29,12.0
0,33.08,17,5,9.96,54.07,0,1,0,0,3258,108.6,1,0,0,0,8.31,1,42.99,0.77,9,1,77.45,81.07,9.3,5.0,77,34542,1424,2.03,46.86
0,14.49,22,3,44.12,33.22,0,0,1,0,73,2.4,0,3,0,0,4.6,1,51.69,0.28,29,3,60.04,58.8,6.79,0.99,73,15695,86,1.32,50.89
0,8.21,9,7,19.38,99.79,0,1,0,0,1532,51.1,0,0,0,0,5.58,0,41.1,0.2,44,3,21.16,99.0,8.07,3.9,19,31891,4679,5.81,84.17
0,47.55,19,4,16.51,35.45,0,0,1,0,3346,111.5,0,0,0,0,1.38,0,40.81,1.17,75,4,42.07,61.96,6.76,8.23,27,2970,48,8.36,53.45
0,43.5,9,5,0.03,95.8,0,1,0,0,2864,95.5,1,2,0,0,7.39,0,49.98,0.87,88,1,86.3,74.78,6.75,8.84,32,49948,3225,2.08,1.46
0,62.12,4,4,45.98,19.34,0,1,0,0,1155,38.5,1,0,1,0,4.8,0,117.68,0.53,60,4,89.67,60.09,8.8,2.77,39,34451,3384,6.93,68.54
1,134.36,13,2,23.95,77.8,0,1,0,1,2531,84.4,0,1,0,0,5.06,0,38.47,3.49,3,1,29.56,23.26,0.49,6.45,51,13192,1513,9.33,12.54
1,127.37,16,4,98.35,48.8,0,1,0,0,965,32.2,0,2,0,0,6.59,1,40.88,3.12,39,1,6.7,58.95,2.25,5.06,73,47383,947,6.42,82.37
0,7.37,16,4,12.42,53.94,1,1,0,0,591,19.7,0,1,0,0,5.88,0,10.76,0.68,75,1,64.86,73.78,3.22,0.1,28,5317,3757,4.34,62.43
0,26.38,22,5,0.4,97.12,0,0,1,0,1471,49.0,0,0,0,0,7.18,1,87.98,0.3,23,1,2.79,70.6,0.69,1.74,48,5887,4125,6.41,12.96
0,16.27,19,4,22.55,11.59,1,0,1,1,3590,119.7,1,1,0,0,9.35,0,33.9,0.48,44,4,51.46,48.65,2.82,2.05,79,7420,3165,3.59,77.25
0,20.56,23,3,9.98,71.16,0,0,1,0,287,9.6,0,1,1,0,4.52,0,40.85,0.5,21,2,59.89,55.17,0.02,0.39,46,40271,2701,3.12,80.98
0,35.2,17,4,8.05,43.92,0,1,0,0,726,24.2,1,0,1,0,1.41,1,33.82,1.04,26,2,57.47,51.61,6.78,8.62,34,44817,4645,3.53,75.13
0,6.63,2,1,8.86,58.65,0,0,1,0,1499,50.0,0,0,0,0,5.32,1,31.69,0.21,35,1,88.56,9.93,1.05,8.14,58,12800,2444,9.56,42.23
0,61.22,10,3,15.78,95.41,1,1,0,0,3043,101.4,0,0,0,0,6.28,0,30.63,2.0,55,1,60.56,36.93,8.88,9.35,42,9542,2113,9.28,97.86
0,24.83,20,1,2.91,45.48,0,1,0,0,3558,118.6,0,1,0,0,4.37,0,54.83,0.45,77,2,29.2,9.64,0.49,8.04,61,39190,4744,7.59,74.53
1,224.21,12,3,17.08,8.06,0,1,0,0,709,23.6,0,0,0,0,3.65,0,80.13,2.8,71,1,46.98,51.31,4.54,5.63,49,32324,3813,5.42,94.53
0,35.98,2,5,5.57,47.78,0,1,0,0,2575,85.8,0,1,0,0,5.77,0,34.23,1.05,30,1,68.78,90.38,5.14,9.31,44,6624,830,9.55,43.15
1,54.11,20,2,105.23,6.67,1,1,0,0,416,13.9,1,3,0,0,4.59,0,43.56,1.24,50,1,73.17,31.15,3.36,9.69,19,11017,1773,8.93,91.98
0,36.75,1,4,13.89,89.29,1,0,1,1,3082,102.7,0,1,0,0,2.98,0,98.75,0.37,29,1,36.19,71.13,3.72,1.49,74,14618,1351,3.85,0.43
0,19.27,22,1,41.64,88.41,0,0,1,1,847,28.2,0,0,0,0,3.6,1,65.69,0.29,85,2,91.36,17.99,0.13,0.5,20,23444,3236,5.68,44.7
0,13.82,17,1,44.55,59.99,0,1,0,1,1395,46.5,0,1,0,0,2.02,0,22.3,0.62,89,1,66.58,17.14,7.51,9.71,37,20815,1031,8.47,46.0
1,9.02,22,0,54.34,78.86,0,0,1,0,3249,108.3,0,2,1,0,8.66,0,28.41,0.32,35,2,54.91,0.0,6.53,2.02,68,27671,1805,2.12,91.25
0,64.49,11,5,73.28,3.23,1,1,0,0,1495,49.8,0,1,0,0,8.35,0,55.78,1.16,75,3,65.59,60.18,7.72,6.39,63,6375,2296,7.3,42.12
0,31.45,21,1,11.93,66.86,0,1,0,0,206,6.9,0,1,0,0,3.25,0,26.95,1.17,85,2,20.34,22.13,2.0,8.91,57,9073,1523,6.75,46.09
0,42.12,12,3,23.63,93.61,0,1,0,0,3590,119.7,0,1,0,0,3.99,0,31.63,1.33,51,4,9.01,43.34,8.19,3.88,62,1992,4213,2.38,95.99
0,17.22,10,2,91.37,3.46,1,0,1,0,3332,111.1,0,2,0,1,3.26,0,22.82,0.75,48,2,86.88,27.0,4.14,0.91,26,39088,2071,6.4,94.12
0,46.48,16,1,21.0,25.13,0,1,0,0,2382,79.4,0,1,0,0,3.62,0,38.02,1.22,3,2,8.65,19.31,1.76,2.0,37,6917,3284,2.39,36.53
0,23.76,21,1,55.26,63.59,0,1,0,0,1068,35.6,0,0,0,0,4.13,1,25.49,0.93,61,1,70.34,13.25,9.09,0.95,25,13594,859,7.57,57.52
0,96.71,10,5,9.2,24.93,1,0,1,0,1399,46.6,0,1,0,0,7.03,0,51.27,1.89,33,1,83.06,75.24,5.07,9.26,31,301,1037,2.24,62.1
0,57.88,17,3,66.41,51.57,1,1,0,0,1084,36.1,0,0,0,0,8.66,0,30.31,1.91,8,1,33.35,46.46,6.98,6.21,79,40402,1257,2.66,50.6
0,166.78,22,2,88.09,46.55,0,1,0,0,1502,50.1,1,0,0,0,3.34,0,51.79,3.22,86,1,74.27,24.95,4.48,7.42,30,43678,1843,3.68,18.23
0,27.28,7,6,3.25,83.99,0,1,0,0,2135,71.2,0,0,1,0,1.04,0,19.53,1.4,28,1,14.75,77.96,6.27,7.21,26,23254,1480,7.04,43.49
0,91.97,20,2,0.37,81.46,1,1,0,0,1958,65.3,0,1,0,0,1.69,0,33.96,2.71,42,1,97.28,32.82,6.82,3.72,42,34767,763,3.02,5.42
0,143.81,12,2,2.55,77.49,1,0,1,0,2939,98.0,0,0,1,1,4.61,0,9.58,15.01,67,1,31.0,34.44,5.9,6.88,63,24261,1858,3.37,50.52
0,30.47,1,3,9.25,68.1,0,1,0,0,1653,55.1,0,1,0,1,6.13,0,23.55,1.29,13,1,70.6,38.67,0.69,2.09,40,39163,4556,8.2,6.08
0,4.63,1,7,21.99,55.47,0,1,0,1,1319,44.0,0,0,0,0,3.03,0,27.64,0.17,11,4,42.78,99.55,2.48,7.28,52,3593,1174,6.18,33.38
0,29.26,19,1,17.68,42.44,0,0,1,0,2097,69.9,0,0,0,0,3.8,0,20.94,1.4,61,2,72.78,0.62,9.89,5.48,41,45590,2223,7.74,33.77
0,68.67,19,1,50.4,61.17,0,0,1,0,2241,74.7,0,1,0,0,8.72,0,40.84,1.68,2,4,43.94,30.99,1.09,7.65,74,11527,4155,6.79,19.61
0,23.49,14,3,10.77,81.1,0,1,0,0,1023,34.1,0,0,0,0,6.63,1,42.47,0.55,21,1,42.02,55.96,3.04,0.32,63,30156,1995,9.84,81.99
1,14.54,16,5,2.64,81.34,0,1,0,0,448,14.9,0,0,0,0,1.7,1,10.21,1.42,15,2,61.17,80.89,1.23,5.94,77,16852,4419,4.32,40.0
0,55.88,9,3,18.58,66.81,0,1,0,0,3044,101.5,0,0,1,0,1.26,0,32.77,1.71,16,1,91.74,46.55,3.21,5.74,25,19619,2331,5.84,32.69
0,40.37,2,3,14.94,2.46,0,0,1,1,1516,50.5,0,0,0,0,8.2,1,26.64,1.52,53,1,71.28,24.55,3.57,2.81,59,23919,4673,5.52,43.79
0,61.23,8,6,30.98,52.06,0,1,0,0,1979,66.0,0,1,0,0,7.64,1,62.44,0.98,51,1,98.21,86.8,7.34,5.62,62,42424,3906,9.44,22.41
0,59.36,20,4,26.4,54.47,1,1,0,0,400,13.3,1,0,0,0,6.45,0,46.25,1.28,2,1,10.25,56.83,2.84,6.77,33,29094,3772,5.47,94.47
0,24.43,17,2,29.43,21.96,0,1,0,0,3259,108.6,1,0,0,0,1.25,0,33.82,0.72,33,2,81.84,16.41,5.93,9.67,47,43785,2916,9.56,38.51
0,297.11,23,2,20.7,7.94,0,0,1,0,80,2.7,0,0,0,0,9.81,1,8.09,36.73,20,2,45.27,31.83,5.24,2.41,20,1448,2924,2.77,32.91
0,16.32,23,1,65.95,70.29,0,1,0,0,339,11.3,0,0,0,0,1.96,0,40.63,0.4,36,1,45.14,18.13,4.49,6.11,63,14938,4589,8.24,58.96
0,23.88,11,3,26.75,49.95,0,1,0,0,928,30.9,0,0,0,0,8.5,1,21.4,1.12,18,1,12.81,38.04,8.42,4.96,60,34330,743,8.19,73.61
1,158.77,3,2,11.76,45.06,0,1,0,1,100,3.3,0,0,1,0,1.05,0,26.18,6.06,23,2,63.74,22.1,0.56,4.16,38,20551,123,3.39,9.64
0,63.7,8,2,24.39,50.96,0,1,0,0,562,18.7,0,0,0,0,5.91,1,33.32,1.91,84,2,70.97,26.56,2.35,8.58,27,31383,1112,8.06,65.42
0,29.33,5,3,32.5,85.91,0,1,0,0,40,1.3,0,0,0,1,2.6,0,50.18,0.58,55,1,88.12,50.67,5.28,4.89,68,26206,2818,8.67,38.8
0,280.45,17,5,4.43,47.01,0,1,0,1,3362,112.1,1,1,0,0,4.38,1,35.14,7.98,53,1,98.42,70.47,0.02,1.23,55,33039,3001,1.98,83.89
0,104.13,12,3,33.88,73.42,0,0,1,1,2673,89.1,1,1,1,0,8.75,0,16.09,6.47,85,1,2.32,55.46,7.29,4.75,69,29951,1321,1.65,14.68
0,77.93,14,1,9.71,99.18,0,1,0,0,1416,47.2,1,1,0,1,2.08,0,50.25,1.55,42,4,20.36,4.84,6.13,9.94,63,14191,4957,4.64,90.04
0,52.9,23,4,9.75,90.03,0,0,1,0,39,1.3,0,1,0,0,2.05,0,19.42,2.72,65,1,48.26,65.68,9.9,3.37,35,10494,444,3.79,74.17
0,42.93,12,3,51.11,72.49,0,1,0,0,2449,81.6,2,0,0,0,5.57,1,9.5,4.52,55,2,91.85,61.59,0.48,3.4,45,31023,4953,8.55,40.68
0,40.84,18,0,59.07,31.33,0,1,0,0,972,32.4,0,1,0,0,5.78,1,31.32,1.3,24,3,44.69,10.69,3.82,9.31,49,27257,86,4.7,38.63
0,46.72,1,5,1.54,59.04,0,1,0,0,514,17.1,1,2,0,0,9.83,0,32.45,1.44,58,1,19.92,74.49,9.53,1.82,40,122,473,2.15,80.83
0,35.06,18,1,27.45,37.56,1,1,0,0,2039,68.0,2,0,0,0,6.73,1,21.91,1.6,59,1,17.09,19.49,4.27,8.74,38,18029,3743,9.19,51.97
0,52.67,16,0,51.87,25.42,0,1,0,0,1889,63.0,0,1,0,0,1.44,0,42.87,1.23,38,1,90.43,10.01,4.33,0.31,49,5632,277,9.09,58.77
0,26.44,12,3,1.97,39.03,0,1,0,1,333,11.1,0,0,0,0,7.15,1,56.16,0.47,72,3,54.27,41.77,2.59,4.31,68,25497,2674,4.55,60.61
0,109.49,9,2,43.42,59.35,0,0,1,0,2664,88.8,0,0,0,0,4.88,1,5.31,20.62,79,1,0.16,22.62,5.03,1.77,36,31614,2436,8.71,34.52
0,7.43,0,6,12.85,42.94,0,1,0,1,3053,101.8,0,1,0,0,2.74,0,78.36,0.09,13,1,71.2,99.4,2.58,6.66,65,29126,2364,3.44,69.38
0,25.16,21,2,2.64,33.38,0,0,1,0,1972,65.7,0,0,0,0,2.41,0,68.48,0.37,57,1,23.57,36.47,3.96,8.44,73,37074,4011,6.75,3.72
0,22.8,20,3,29.0,75.47,0,1,0,0,2503,83.4,0,2,0,0,3.62,1,18.53,1.23,53,2,20.78,40.46,9.43,4.13,50,27767,4763,6.22,9.05
0,72.2,11,2,10.85,30.44,1,1,0,1,1325,44.2,0,2,0,0,1.44,0,12.61,5.73,8,1,30.11,14.97,3.12,6.09,24,7064,808,7.0,97.3
0,19.86,7,3,88.11,44.49,0,1,0,0,1577,52.6,1,0,0,0,9.35,0,48.92,0.41,72,1,54.86,47.61,2.16,9.79,39,7428,215,3.28,17.93
0,27.17,11,3,6.45,6.61,1,1,0,1,3561,118.7,0,0,0,0,7.53,1,21.62,1.26,30,1,16.5,45.51,6.69,5.93,62,17215,780,1.23,7.07
1,93.76,12,4,1.98,4.82,0,1,0,0,308,10.3,1,1,1,0,3.38,0,27.85,3.37,13,1,94.42,50.43,1.64,2.39,58,14693,968,6.19,51.4
0,11.37,16,5,91.35,70.88,0,0,1,1,3238,107.9,0,1,0,0,1.07,1,31.72,0.36,75,3,35.44,58.62,8.8,5.76,73,20417,3504,9.63,62.62
0,131.61,7,5,21.55,12.17,0,1,0,1,2091,69.7,2,0,0,0,8.24,1,34.67,3.8,84,4,52.74,72.88,2.28,0.63,30,16777,4495,8.83,0.74
0,18.94,5,1,8.68,98.11,0,1,0,0,3463,115.4,1,0,0,0,1.39,0,56.89,0.33,35,2,1.98,28.84,8.67,2.89,71,39246,2153,8.14,21.06
0,14.6,16,2,0.89,93.59,0,1,0,0,231,7.7,0,0,1,1,2.06,1,90.0,0.16,29,1,44.55,25.41,3.26,6.04,28,3159,2510,8.09,36.63
0,24.7,8,1,52.66,57.77,0,1,0,1,2546,84.9,0,2,0,1,9.52,1,28.12,0.88,87,1,66.47,26.49,0.88,5.01,62,19258,2220,2.17,75.38
0,4.06,13,2,5.6,23.02,0,1,0,0,762,25.4,0,0,0,0,8.54,1,24.6,0.17,77,1,28.2,32.95,5.58,2.28,58,42461,1005,9.95,97.5
0,184.4,15,2,20.18,76.08,0,0,1,0,517,17.2,0,1,0,0,9.72,0,27.49,6.71,38,1,84.66,24.69,2.89,0.54,64,17137,4981,8.4,56.81
0,39.51,14,1,60.66,19.51,1,1,0,0,2500,83.3,0,0,0,0,8.09,1,54.93,0.72,24,4,86.65,15.56,0.74,4.52,50,30102,2327,6.23,76.86
0,20.77,18,3,51.76,40.53,0,1,0,0,621,20.7,0,0,0,0,7.57,1,20.22,1.03,61,2,63.39,41.16,9.02,9.89,65,48142,4890,4.18,47.46
0,61.63,8,5,21.41,7.21,0,1,0,0,1124,37.5,1,1,0,0,1.47,1,30.18,2.04,26,1,33.83,74.02,3.03,8.15,49,41638,4464,5.82,57.47
0,49.44,23,5,33.64,27.92,1,1,0,1,2542,84.7,1,2,0,0,5.51,1,30.37,1.63,54,1,95.76,60.85,2.21,3.54,72,170,3099,1.27,90.21
0,16.79,21,2,1.54,66.31,0,1,0,0,3301,110.0,0,0,0,0,2.54,1,17.36,0.97,4,2,19.76,36.62,5.81,5.69,74,26396,87,7.71,44.18
0,10.47,2,3,4.3,48.53,0,1,0,0,1298,43.3,0,3,0,0,3.59,1,123.58,0.08,65,1,32.97,57.73,8.77,0.37,41,3768,1779,2.32,17.3
0,11.42,17,3,31.61,78.33,0,1,0,0,1835,61.2,0,0,0,0,3.43,1,10.09,1.13,86,1,33.39,51.05,7.91,9.98,28,24365,3446,5.74,79.57
0,18.06,21,3,3.38,55.37,0,0,1,0,204,6.8,0,1,0,0,5.03,0,16.48,1.1,54,1,88.01,56.12,3.34,0.73,52,46003,1195,9.65,22.5
0,20.45,4,2,6.2,99.55,0,0,1,0,880,29.3,2,2,0,0,6.23,0,19.0,1.08,6,2,57.12,26.73,9.89,0.24,34,16396,262,8.97,54.67
0,18.94,11,6,8.72,85.23,0,1,0,1,3382,112.7,0,1,0,0,1.66,0,18.39,1.03,2,2,22.0,87.67,5.25,5.88,39,21710,3166,3.75,26.46
0,20.66,9,1,12.45,98.99,0,1,0,0,1220,40.7,1,1,0,0,4.26,0,25.24,0.82,47,1,75.73,7.39,5.05,3.41,37,2409,2889,9.98,84.5
0,268.54,21,3,18.61,78.06,0,1,0,1,2313,77.1,0,1,0,0,5.78,0,18.12,14.82,3,4,41.44,36.37,4.88,1.11,58,23821,1381,8.85,80.23
1,31.05,17,1,17.99,6.92,0,1,0,1,770,25.7,0,0,1,1,6.31,0,30.11,1.03,86,1,89.96,9.9,7.36,9.01,22,45081,2097,7.21,1.36
0,14.8,12,1,46.63,51.27,1,1,0,0,2948,98.3,0,0,0,0,5.79,1,29.33,0.5,72,1,21.41,27.56,2.14,9.72,28,20572,111,8.68,75.21
0,36.49,5,5,26.39,34.11,0,1,0,0,701,23.4,0,2,0,0,6.94,0,13.65,2.67,77,2,45.74,73.66,7.05,1.54,39,20467,1830,9.92,53.17
0,49.13,16,2,30.46,62.49,1,0,1,1,611,20.4,0,1,0,1,3.14,1,27.22,1.8,4,1,10.05,24.73,3.08,8.76,19,34819,4684,3.86,10.22
