VisitID,Age,VisitDurationMin,TimeOfDay,DrinkType,FoodPurchase,LoyaltyMember,TotalSpent
134,40,21.2,Evening,Coffee,None,Yes,7.84
135,23,16.3,Morning,Smoothie,Dessert,No,10.56
136,53,24.7,Morning,Coffee,None,Yes,6.08
137,25,26.3,Morning,Tea,Sandwich,Yes,14.98
138,30,9.4,Morning,Tea,None,No,4.7
139,44,22.2,Morning,Specialty,None,Yes,9.93
140,19,22.9,Morning,Coffee,None,No,7.52
141,37,15.9,Afternoon,Coffee,Pastry,Yes,10.32
142,50,27.6,Morning,Coffee,Dessert,No,11.1
143,18,16.9,Afternoon,Specialty,None,Yes,9.1
144,36,18.9,Afternoon,Tea,None,Yes,5.49
145,37,16.8,Morning,Smoothie,None,No,8.93
146,43,18.1,Afternoon,Coffee,Pastry,No,9.38
147,19,10.3,Evening,Coffee,Pastry,No,9.0
148,18,7.9,Afternoon,Coffee,Sandwich,Yes,13.93
149,40,29.2,Afternoon,Specialty,Pastry,Yes,12.84
150,38,12.1,Morning,Tea,Pastry,Yes,8.16
151,37,11.1,Afternoon,Specialty,None,No,6.82
152,38,3.0,Afternoon,Coffee,Dessert,Yes,8.46
153,26,13.5,Afternoon,Tea,None,Yes,5.22
154,37,8.7,Evening,Tea,None,Yes,7.56
155,38,29.5,Morning,Coffee,Pastry,No,8.86
156,25,25.1,Morning,Specialty,Pastry,Yes,13.49
157,56,13.2,Afternoon,Specialty,None,No,6.97
158,40,33.8,Evening,Specialty,Pastry,Yes,13.7
159,20,24.9,Morning,Smoothie,Sandwich,No,13.31
160,42,15.7,Morning,Coffee,None,Yes,6.42
161,22,3.0,Morning,Coffee,Sandwich,No,11.64
162,43,34.0,Morning,Specialty,Pastry,No,13.57
163,48,8.3,Afternoon,Coffee,None,Yes,6.03
164,24,6.5,Afternoon,Smoothie,Pastry,No,8.84
165,46,25.2,Morning,Smoothie,None,Yes,10.62
166,39,35.1,Morning,Tea,Sandwich,No,13.22
167,44,27.7,Morning,Specialty,Pastry,No,12.76
168,57,21.9,Morning,Coffee,None,Yes,6.95
169,31,22.2,Afternoon,Coffee,Pastry,Yes,9.18
170,25,24.0,Evening,Coffee,Dessert,Yes,11.96
171,23,23.3,Evening,Coffee,Pastry,Yes,11.59
172,24,20.0,Morning,Coffee,Dessert,Yes,9.37
173,33,18.7,Evening,Coffee,None,Yes,6.45
174,38,17.6,Afternoon,Specialty,None,Yes,8.74
175,37,12.7,Afternoon,Specialty,None,No,8.18
176,44,16.0,Afternoon,Coffee,None,Yes,7.7
177,34,6.1,Morning,Coffee,None,Yes,5.15
178,51,17.3,Morning,Specialty,None,No,8.02
179,31,11.1,Morning,Coffee,Dessert,Yes,10.03
180,67,10.3,Morning,Coffee,Sandwich,Yes,11.77
181,42,19.3,Morning,Coffee,Sandwich,Yes,12.97
182,24,27.7,Afternoon,Tea,None,No,6.83
183,21,24.4,Afternoon,Coffee,None,No,4.85
184,40,7.0,Afternoon,Specialty,None,Yes,8.95
185,31,11.1,Morning,Coffee,Sandwich,No,9.89
186,43,24.6,Evening,Tea,Dessert,Yes,10.52
187,40,11.1,Evening,Coffee,Pastry,No,8.6
188,33,16.4,Afternoon,Coffee,None,No,7.43
189,24,21.9,Evening,Tea,Pastry,No,9.17
190,18,11.2,Afternoon,Smoothie,None,Yes,5.52
191,29,18.7,Evening,Smoothie,None,Yes,6.62
192,44,8.7,Morning,Tea,Pastry,Yes,9.06
193,37,13.8,Morning,Specialty,Sandwich,No,15.7
194,19,20.2,Morning,Specialty,None,No,9.63
195,36,6.8,Morning,Smoothie,None,No,7.47
196,39,21.1,Morning,Coffee,Dessert,No,11.82
197,23,17.9,Afternoon,Coffee,None,Yes,6.0
198,36,21.9,Afternoon,Coffee,None,No,6.78
199,35,19.6,Afternoon,Tea,None,No,2.99
200,20,27.5,Morning,Coffee,None,No,5.72
201,38,18.9,Evening,Coffee,None,No,3.98
202,41,15.0,Afternoon,Specialty,Sandwich,No,14.16
203,47,18.9,Morning,Specialty,None,Yes,9.58
204,47,21.8,Afternoon,Specialty,Pastry,No,11.8
205,18,18.3,Morning,Coffee,Pastry,Yes,10.53
206,23,18.3,Morning,Smoothie,Pastry,No,10.39
207,40,13.1,Evening,Coffee,Sandwich,No,12.15
208,40,13.4,Morning,Coffee,Sandwich,Yes,11.18
209,40,8.2,Afternoon,Coffee,None,No,6.55
210,70,30.2,Evening,Coffee,Sandwich,Yes,13.83
211,41,9.3,Afternoon,Coffee,Pastry,Yes,8.45
212,48,13.1,Morning,Specialty,Dessert,Yes,15.52
213,45,13.0,Morning,Coffee,Pastry,No,7.33
214,42,24.3,Morning,Smoothie,Dessert,No,11.15
215,30,15.9,Afternoon,Tea,Sandwich,No,9.93
216,43,26.7,Morning,Coffee,None,Yes,7.27
217,25,13.3,Morning,Coffee,Pastry,No,9.44
218,31,20.0,Evening,Coffee,Dessert,No,11.47
219,28,12.2,Afternoon,Tea,Sandwich,Yes,15.2
220,35,33.0,Morning,Coffee,None,Yes,4.92
221,62,9.7,Afternoon,Coffee,Sandwich,Yes,12.99
222,18,20.2,Afternoon,Coffee,None,No,5.22
223,42,22.4,Morning,Tea,None,No,4.96
224,18,20.9,Morning,Specialty,None,No,8.43
225,28,16.7,Evening,Coffee,None,Yes,5.87
226,47,17.1,Afternoon,Smoothie,Sandwich,No,15.98
227,35,18.3,Afternoon,Tea,None,Yes,6.9
228,21,17.0,Morning,Specialty,Sandwich,Yes,16.4
229,25,24.7,Morning,Specialty,None,No,10.77
230,42,33.5,Morning,Tea,None,Yes,5.37
231,25,14.1,Morning,Tea,None,No,3.53
232,37,8.4,Morning,Specialty,None,Yes,6.28
233,35,17.4,Morning,Coffee,None,No,5.02
234,26,36.1,Evening,Coffee,None,Yes,8.37
235,60,12.4,Evening,Coffee,Pastry,No,9.12
236,42,29.5,Afternoon,Specialty,None,Yes,9.96
237,18,29.7,Evening,Specialty,None,Yes,9.12
238,36,14.1,Morning,Coffee,None,No,6.7
239,26,22.0,Evening,Tea,Sandwich,Yes,13.62
240,44,29.4,Morning,Coffee,Dessert,No,11.78
241,24,15.3,Evening,Coffee,Pastry,No,7.25
242,33,16.6,Evening,Specialty,None,Yes,10.14
243,40,13.9,Afternoon,Coffee,None,Yes,4.6
244,44,10.9,Evening,Coffee,Dessert,No,9.51
245,20,13.5,Afternoon,Tea,None,No,5.68
246,30,9.4,Morning,Smoothie,None,No,7.53
247,28,18.2,Morning,Coffee,None,Yes,5.78
248,26,12.6,Afternoon,Tea,None,No,4.61
249,55,19.6,Morning,Tea,None,Yes,4.51
250,39,7.1,Afternoon,Coffee,Sandwich,No,12.71
251,19,20.3,Evening,Coffee,None,No,6.41
252,45,23.8,Morning,Tea,Pastry,Yes,11.33
253,59,4.0,Afternoon,Coffee,None,Yes,4.73
254,46,20.6,Evening,Specialty,None,Yes,9.33
255,18,26.6,Evening,Specialty,Dessert,Yes,13.99
256,28,9.5,Evening,Specialty,None,No,9.52
257,49,29.7,Afternoon,Coffee,Sandwich,Yes,12.65
258,26,20.9,Evening,Specialty,Pastry,Yes,14.06
259,39,13.1,Afternoon,Coffee,None,Yes,5.56
260,43,17.6,Morning,Coffee,Dessert,No,7.69
261,23,21.9,Afternoon,Coffee,None,No,5.3
262,33,18.5,Afternoon,Coffee,Sandwich,Yes,11.39
263,18,21.8,Morning,Smoothie,None,Yes,9.45
264,22,11.6,Afternoon,Coffee,Sandwich,No,10.41
265,31,19.2,Afternoon,Coffee,None,No,6.66
266,19,8.1,Morning,Tea,Pastry,Yes,9.22
267,54,17.2,Afternoon,Coffee,Sandwich,Yes,12.56
268,18,11.7,Afternoon,Tea,Dessert,Yes,10.87
269,29,12.9,Afternoon,Coffee,Dessert,Yes,11.48
270,36,26.7,Morning,Specialty,Sandwich,No,15.68
271,51,25.6,Morning,Specialty,Dessert,No,12.42
272,18,22.3,Morning,Coffee,None,Yes,5.22
273,48,10.4,Evening,Coffee,None,No,4.87
274,34,15.8,Morning,Coffee,None,Yes,5.93
275,22,26.5,Afternoon,Specialty,None,No,9.17
276,40,19.0,Morning,Coffee,None,No,5.56
277,36,34.2,Morning,Coffee,Pastry,Yes,11.91
278,27,20.8,Evening,Coffee,None,Yes,6.48
279,35,19.3,Afternoon,Coffee,Pastry,No,8.69
280,29,15.8,Morning,Coffee,None,Yes,8.18
281,35,18.9,Morning,Specialty,None,Yes,10.06
282,42,16.9,Morning,Coffee,Pastry,Yes,9.94
283,53,23.0,Afternoon,Coffee,Sandwich,No,11.48
284,19,24.7,Afternoon,Specialty,Sandwich,Yes,15.54
285,60,12.5,Morning,Specialty,Pastry,No,10.44
286,18,8.7,Morning,Coffee,None,Yes,5.95
287,32,5.1,Morning,Coffee,Pastry,No,9.35
288,41,21.6,Evening,Coffee,None,No,6.12
289,37,10.3,Evening,Specialty,None,No,6.78
290,27,3.0,Morning,Coffee,None,Yes,8.14
291,32,20.7,Afternoon,Specialty,None,No,8.74
292,28,35.5,Morning,Smoothie,None,No,7.22
293,27,18.0,Morning,Tea,Dessert,Yes,10.03
294,44,23.9,Afternoon,Coffee,Dessert,Yes,11.07
295,38,18.6,Evening,Coffee,None,Yes,9.25
296,26,17.3,Evening,Coffee,None,Yes,5.65
297,45,24.4,Afternoon,Coffee,None,No,7.03
298,38,16.0,Morning,Tea,None,Yes,7.96
299,44,19.9,Afternoon,Specialty,Dessert,Yes,12.66
300,42,20.3,Morning,Tea,None,No,5.22
301,24,13.3,Afternoon,Smoothie,Sandwich,Yes,13.6
302,27,24.9,Morning,Coffee,None,Yes,6.99
303,43,16.8,Afternoon,Coffee,Dessert,Yes,10.46
304,41,12.7,Morning,Coffee,None,No,6.44
305,34,21.8,Morning,Tea,Sandwich,No,13.52
306,35,11.7,Evening,Specialty,None,No,7.62
307,49,18.2,Morning,Tea,Pastry,Yes,7.13
308,27,17.9,Afternoon,Coffee,None,No,5.4
309,41,25.6,Morning,Coffee,None,Yes,7.65
310,32,21.3,Morning,Tea,Dessert,Yes,11.09
311,31,17.8,Morning,Coffee,Dessert,Yes,10.66
312,47,23.7,Morning,Specialty,Dessert,No,13.43
313,44,27.7,Evening,Specialty,Pastry,Yes,15.56
314,44,21.9,Morning,Tea,Sandwich,Yes,13.54
315,50,18.1,Evening,Coffee,None,Yes,6.62
316,34,8.8,Afternoon,Coffee,None,Yes,5.15
317,42,10.5,Morning,Coffee,None,No,5.27
318,30,15.9,Afternoon,Coffee,Pastry,Yes,11.5
319,38,13.7,Afternoon,Coffee,None,No,4.94
320,32,16.7,Afternoon,Tea,None,Yes,5.73
321,35,18.4,Morning,Tea,Pastry,No,8.1
322,41,21.7,Morning,Coffee,Sandwich,No,14.03
323,24,17.5,Evening,Coffee,None,Yes,9.85
324,59,21.4,Evening,Coffee,None,Yes,7.75
325,22,18.5,Evening,Coffee,None,No,6.66
326,19,4.2,Morning,Specialty,None,No,8.25
327,48,11.4,Afternoon,Coffee,None,Yes,2.95
328,43,17.0,Afternoon,Coffee,Pastry,Yes,10.45
329,41,9.5,Afternoon,Coffee,Pastry,No,8.34
330,42,22.2,Morning,Specialty,Pastry,No,12.72
331,34,28.7,Afternoon,Tea,None,Yes,5.58
332,23,26.5,Morning,Coffee,Sandwich,Yes,13.71
333,35,16.5,Morning,Tea,None,Yes,5.73
334,26,28.4,Evening,Smoothie,Pastry,No,13.33
335,46,19.0,Morning,Specialty,Sandwich,Yes,15.67
336,32,15.6,Morning,Coffee,None,No,8.39
337,24,13.7,Morning,Specialty,None,Yes,10.21
338,30,15.9,Evening,Specialty,Dessert,Yes,12.36
339,39,15.3,Afternoon,Specialty,None,No,7.86
340,27,19.2,Morning,Tea,Pastry,No,7.94
341,24,19.1,Evening,Tea,None,No,3.35
342,37,18.0,Evening,Coffee,Pastry,Yes,12.33
343,37,21.1,Morning,Smoothie,None,No,8.99
344,28,26.3,Afternoon,Tea,None,No,6.09
345,28,24.6,Afternoon,Tea,Pastry,Yes,9.68
346,37,7.6,Afternoon,Coffee,None,Yes,3.98
347,18,3.0,Morning,Smoothie,None,Yes,7.68
348,18,24.5,Evening,Specialty,None,Yes,11.62
349,25,8.4,Afternoon,Coffee,None,No,3.54
350,31,16.4,Morning,Specialty,None,Yes,6.32
351,38,9.8,Morning,Tea,None,No,4.65
352,52,5.4,Morning,Specialty,Dessert,Yes,12.9
353,44,21.8,Morning,Coffee,None,No,6.33
354,32,23.3,Afternoon,Coffee,Pastry,Yes,10.81
355,34,14.0,Morning,Specialty,None,Yes,10.14
356,22,3.0,Morning,Coffee,None,Yes,6.6
357,34,14.2,Afternoon,Specialty,Dessert,Yes,14.6
358,31,20.7,Morning,Coffee,None,No,4.19
359,38,7.6,Evening,Tea,Dessert,Yes,10.84
360,24,19.3,Morning,Coffee,None,No,7.14
361,40,17.9,Morning,Tea,Sandwich,Yes,11.27
362,52,22.1,Morning,Coffee,Pastry,Yes,8.45
363,33,18.8,Morning,Coffee,Dessert,Yes,10.2
364,39,11.2,Morning,Coffee,Pastry,No,7.95
365,42,26.4,Afternoon,Coffee,Pastry,No,10.13
366,29,16.9,Evening,Specialty,None,Yes,9.0
367,37,17.8,Morning,Specialty,None,Yes,8.5
368,34,11.5,Afternoon,Coffee,Dessert,Yes,9.43
369,35,14.9,Afternoon,Smoothie,None,No,8.64
370,25,11.8,Evening,Coffee,None,No,5.82
371,34,16.8,Morning,Tea,Sandwich,Yes,12.53
372,40,30.0,Morning,Specialty,None,No,9.26
373,51,8.4,Morning,Specialty,Dessert,Yes,14.87
374,46,6.7,Afternoon,Coffee,Sandwich,No,10.32
375,60,28.3,Evening,Smoothie,Pastry,Yes,14.49
376,25,16.5,Morning,Coffee,Dessert,No,10.35
377,44,13.3,Morning,Specialty,None,Yes,9.1
378,36,25.3,Evening,Coffee,None,No,9.74
379,60,13.8,Evening,Tea,Pastry,No,7.26
380,24,30.8,Evening,Tea,None,No,6.36
381,24,22.7,Afternoon,Smoothie,Sandwich,No,13.02
382,27,14.6,Morning,Coffee,Dessert,No,11.17
383,18,33.1,Afternoon,Specialty,Pastry,Yes,15.7
384,28,13.8,Afternoon,Coffee,None,Yes,8.17
385,25,23.2,Morning,Tea,Dessert,Yes,12.42
386,36,20.1,Afternoon,Coffee,Pastry,No,8.56
387,38,27.1,Afternoon,Coffee,Pastry,Yes,9.67
388,57,28.9,Morning,Tea,None,No,3.9
389,45,18.2,Afternoon,Coffee,Dessert,No,12.24
390,27,12.7,Afternoon,Coffee,Pastry,Yes,9.85
391,23,21.2,Evening,Coffee,Sandwich,Yes,13.51
392,40,13.3,Morning,Coffee,Sandwich,Yes,14.71
393,18,32.1,Morning,Smoothie,None,Yes,8.81
394,56,19.0,Afternoon,Specialty,Pastry,Yes,12.8
395,48,15.4,Morning,Coffee,Sandwich,Yes,12.96
396,28,19.3,Afternoon,Coffee,None,No,6.31
397,18,8.6,Afternoon,Coffee,Sandwich,No,11.64
398,50,11.2,Morning,Coffee,Dessert,Yes,8.86
399,33,26.4,Afternoon,Tea,Pastry,Yes,9.68
400,49,13.4,Afternoon,Tea,Sandwich,Yes,13.37
401,18,10.7,Morning,Coffee,Sandwich,No,12.31
402,27,21.8,Evening,Coffee,Sandwich,No,13.88
403,34,26.3,Evening,Coffee,None,Yes,6.27
404,35,23.0,Afternoon,Specialty,None,Yes,9.35
405,29,25.0,Afternoon,Specialty,None,No,7.82
406,41,12.7,Afternoon,Coffee,Pastry,No,9.3
407,21,8.0,Evening,Coffee,Pastry,Yes,10.12
408,32,28.5,Afternoon,Specialty,Sandwich,No,16.17
409,35,15.7,Afternoon,Specialty,None,Yes,10.3
410,40,16.2,Evening,Coffee,Pastry,Yes,11.09
411,43,27.3,Morning,Coffee,None,No,6.83
412,21,21.9,Evening,Coffee,Sandwich,No,12.02
413,18,21.2,Morning,Tea,Pastry,Yes,10.12
414,49,33.2,Morning,Coffee,None,No,6.18
415,38,13.5,Morning,Coffee,None,Yes,6.13
416,25,24.5,Evening,Tea,Sandwich,No,12.1
417,53,18.4,Evening,Coffee,Pastry,Yes,9.13
418,35,19.9,Afternoon,Smoothie,None,No,5.1
419,48,28.7,Afternoon,Coffee,Dessert,No,9.49
420,35,21.6,Afternoon,Coffee,Sandwich,Yes,13.29
421,59,21.8,Evening,Tea,Dessert,No,8.37
422,55,25.5,Afternoon,Coffee,Pastry,No,9.15
423,31,15.4,Morning,Specialty,Pastry,No,14.15
424,46,12.1,Morning,Tea,Dessert,Yes,11.5
425,42,10.7,Afternoon,Coffee,Pastry,No,10.3
426,50,4.2,Afternoon,Smoothie,Sandwich,No,13.59
427,22,32.4,Morning,Coffee,None,Yes,9.5
428,42,10.3,Morning,Specialty,Pastry,No,10.56
429,47,16.5,Evening,Coffee,None,Yes,6.18
430,18,16.1,Morning,Tea,None,Yes,3.14
431,20,20.2,Afternoon,Coffee,None,Yes,8.29
432,18,23.7,Evening,Coffee,None,No,8.8
433,31,24.0,Morning,Specialty,Dessert,No,12.6
434,43,13.9,Morning,Specialty,None,Yes,9.02
435,52,16.8,Afternoon,Coffee,Pastry,No,7.67
436,35,20.0,Evening,Coffee,Sandwich,Yes,14.18
437,54,16.3,Afternoon,Specialty,Pastry,Yes,13.63
438,18,29.3,Evening,Specialty,None,Yes,8.68
439,18,21.4,Morning,Coffee,Sandwich,No,13.5
440,33,23.1,Afternoon,Coffee,Pastry,No,8.64
441,39,22.6,Afternoon,Coffee,Sandwich,No,12.35
442,34,26.2,Evening,Specialty,Sandwich,No,16.5
443,18,19.3,Morning,Coffee,Dessert,Yes,11.27
444,33,8.9,Evening,Coffee,Pastry,Yes,9.65
445,18,20.8,Afternoon,Smoothie,None,Yes,8.58
446,42,13.4,Morning,Coffee,Pastry,Yes,11.02
447,38,14.3,Morning,Coffee,None,Yes,7.13
448,23,22.1,Evening,Coffee,Dessert,No,11.3
449,28,26.7,Morning,Coffee,None,Yes,5.76
450,21,18.1,Morning,Coffee,None,No,5.81
451,33,20.2,Morning,Tea,Sandwich,Yes,14.09
452,45,29.9,Evening,Coffee,Pastry,Yes,11.09
453,22,19.7,Afternoon,Tea,None,No,6.21
454,40,36.2,Afternoon,Specialty,Pastry,Yes,15.63
455,28,22.0,Morning,Smoothie,Sandwich,No,15.97
456,24,5.7,Afternoon,Coffee,None,No,5.16
457,33,23.3,Afternoon,Coffee,Sandwich,Yes,12.51
458,22,20.7,Evening,Coffee,None,No,3.5
459,27,27.0,Evening,Coffee,Sandwich,Yes,13.91
460,20,22.7,Morning,Coffee,Sandwich,Yes,13.55
461,58,17.0,Afternoon,Tea,None,No,5.26
462,34,9.4,Morning,Coffee,Pastry,Yes,9.37
463,26,16.5,Afternoon,Coffee,None,No,4.94
464,37,12.0,Morning,Coffee,Sandwich,No,9.85
465,33,13.9,Morning,Smoothie,Pastry,No,9.76
466,31,22.1,Morning,Coffee,Pastry,Yes,10.92
467,41,29.7,Afternoon,Tea,None,Yes,8.68
468,43,20.8,Morning,Coffee,None,No,5.98
469,28,9.6,Afternoon,Specialty,None,Yes,8.99
470,27,21.1,Morning,Specialty,None,Yes,10.96
471,31,26.4,Morning,Coffee,Pastry,Yes,9.57
472,18,13.7,Afternoon,Coffee,Sandwich,Yes,13.38
473,18,17.1,Morning,Coffee,Pastry,Yes,9.45
474,50,18.1,Morning,Coffee,Pastry,No,10.27
475,54,12.5,Afternoon,Tea,Dessert,No,9.04
476,31,22.5,Morning,Specialty,Sandwich,Yes,16.72
477,41,17.2,Morning,Tea,Dessert,Yes,9.55
478,38,20.9,Morning,Specialty,Pastry,Yes,13.89
479,70,11.8,Evening,Coffee,None,No,8.31
480,47,14.9,Afternoon,Coffee,None,Yes,4.88
481,32,23.1,Afternoon,Smoothie,Sandwich,No,13.81
482,23,15.4,Afternoon,Coffee,None,Yes,6.81
483,18,30.1,Morning,Tea,None,No,7.49
484,36,15.2,Morning,Coffee,Pastry,Yes,9.21
485,25,19.6,Afternoon,Coffee,Pastry,No,5.23
486,18,24.5,Morning,Specialty,Pastry,Yes,15.27
487,26,8.1,Morning,Coffee,None,No,6.29
