AdvertisingSpend,Price,StoreTraffic,CompetitorDistance,Region,StoreType,PromotionType,Season,Sales
31.83,18.98,1165,6.13,West,Outlet,Loyalty,Winter,457.53
16.9,9.44,2785,7.1,North,Neighborhood,None,Summer,726.98
25.67,15.63,2012,3.51,North,Flagship,Loyalty,Summer,509.18
5.3,10.61,840,8.91,South,Outlet,None,Summer,129.09
17.32,9.09,1505,0.6,North,Flagship,None,Summer,589.99
21.75,12.04,1126,15.48,West,Flagship,None,Fall,372.69
14.72,19.77,943,8.56,West,Neighborhood,Loyalty,Fall,247.46
14.51,18.8,797,2.42,East,Neighborhood,Bundle,Fall,394.1
16.66,15.97,1594,15.24,West,Neighborhood,None,Fall,364.93
24.34,8.87,1093,18.37,West,Flagship,Discount,Spring,608.24
20.5,14.21,1836,7.37,North,Outlet,Bundle,Fall,455.14
4.09,16.21,1847,2.93,West,Neighborhood,None,Summer,296.7
5.03,15.7,2018,5.77,East,Flagship,Loyalty,Winter,132.72
17.15,7.62,1016,8.11,West,Outlet,Loyalty,Fall,425.22
25.66,11.44,1614,6.95,West,Outlet,Discount,Spring,623.6
2.0,14.74,1685,2.42,South,Outlet,Loyalty,Summer,343.55
18.0,17.15,1187,8.01,North,Outlet,Discount,Winter,435.88
17.79,6.22,1053,11.78,North,Neighborhood,Loyalty,Winter,404.15
33.11,14.35,2124,1.95,South,Neighborhood,Bundle,Fall,692.31
18.92,15.57,1502,2.16,West,Flagship,Bundle,Winter,373.36
25.06,18.4,1686,3.39,West,Neighborhood,None,Fall,248.66
23.13,17.77,1030,4.77,North,Neighborhood,Loyalty,Fall,349.61
4.96,17.33,851,9.78,East,Neighborhood,Discount,Summer,357.35
28.15,11.8,1144,11.69,South,Neighborhood,None,Summer,430.24
23.72,7.37,1344,2.82,North,Neighborhood,None,Spring,449.51
26.07,13.43,921,6.46,North,Flagship,Discount,Summer,735.16
50.0,19.01,1396,11.39,South,Flagship,Discount,Summer,527.29
5.33,20.57,640,20.0,West,Neighborhood,Bundle,Fall,76.51
35.8,17.84,896,6.43,South,Flagship,Loyalty,Summer,293.05
19.7,16.72,1702,6.69,East,Outlet,None,Fall,384.73
24.3,16.52,1672,7.4,East,Neighborhood,Bundle,Fall,516.61
21.64,12.78,1224,4.4,South,Neighborhood,None,Summer,485.64
18.61,14.48,942,6.09,West,Neighborhood,Loyalty,Spring,357.63
17.44,21.68,938,0.79,West,Outlet,Loyalty,Spring,224.68
24.64,11.23,1232,3.52,South,Neighborhood,Discount,Winter,444.5
9.86,21.46,1690,7.92,South,Neighborhood,Bundle,Winter,226.27
28.0,13.71,1818,2.68,South,Neighborhood,Discount,Summer,468.5
18.67,20.3,1177,9.93,South,Neighborhood,Discount,Spring,596.37
12.96,9.37,881,1.13,North,Outlet,Loyalty,Fall,378.42
18.4,17.34,1521,9.68,East,Outlet,Discount,Winter,420.55
32.06,12.05,1029,9.66,East,Neighborhood,Discount,Fall,636.99
17.72,9.34,1167,20.0,North,Outlet,Discount,Winter,573.59
24.87,15.87,1996,4.26,South,Outlet,Loyalty,Summer,511.4
16.15,19.04,1772,5.61,West,Neighborhood,Discount,Spring,371.15
28.06,11.62,1471,14.53,North,Outlet,None,Winter,462.86
27.48,9.0,828,13.35,North,Neighborhood,Bundle,Spring,592.86
36.79,14.63,1495,10.91,South,Neighborhood,Loyalty,Fall,431.14
20.6,14.65,1878,7.12,West,Neighborhood,None,Summer,592.52
27.35,17.19,1231,14.27,North,Outlet,None,Spring,395.76
22.78,18.8,2008,20.0,East,Flagship,None,Summer,588.95
32.37,14.76,1982,8.43,West,Outlet,Discount,Spring,783.45
16.25,22.42,2149,5.8,North,Outlet,Discount,Fall,506.39
27.96,15.9,1537,9.11,East,Flagship,Bundle,Fall,587.5
20.44,13.61,1664,6.37,South,Outlet,Bundle,Summer,586.66
21.49,8.55,2036,4.55,East,Flagship,Bundle,Fall,612.05
22.73,13.95,1601,9.96,East,Neighborhood,Discount,Winter,490.44
24.02,13.65,1174,3.8,East,Neighborhood,Loyalty,Spring,405.0
21.07,18.84,1198,8.31,North,Flagship,Discount,Fall,386.64
23.72,16.85,1507,1.41,West,Outlet,Loyalty,Winter,567.93
34.62,10.28,819,15.92,South,Outlet,Bundle,Summer,453.44
29.88,15.69,1336,3.0,North,Neighborhood,None,Winter,185.6
28.95,17.69,1893,1.71,North,Flagship,Bundle,Summer,746.16
18.36,21.11,414,13.06,East,Neighborhood,Discount,Summer,404.68
14.89,18.55,2091,14.65,East,Neighborhood,Bundle,Spring,362.47
29.64,18.04,1905,7.02,North,Outlet,None,Spring,475.63
29.01,15.24,1193,5.22,East,Neighborhood,None,Winter,411.54
33.78,16.55,1645,4.34,North,Neighborhood,Loyalty,Spring,491.47
17.17,20.0,1401,6.75,East,Neighborhood,None,Spring,479.77
20.16,9.67,1953,5.44,North,Neighborhood,Loyalty,Spring,388.84
8.88,13.6,1842,4.96,East,Outlet,None,Winter,283.27
18.86,11.91,770,2.73,South,Flagship,Bundle,Fall,493.95
29.97,16.52,1664,2.1,West,Outlet,Bundle,Spring,601.08
18.27,19.92,1307,5.97,North,Neighborhood,Discount,Spring,379.59
27.12,12.61,1437,6.61,South,Outlet,Discount,Winter,451.2
20.48,5.44,1072,3.14,North,Neighborhood,None,Fall,493.33
24.59,13.35,2187,3.52,West,Neighborhood,None,Spring,526.3
12.82,18.65,1868,6.6,West,Outlet,Discount,Summer,542.31
22.68,17.15,1067,2.67,South,Flagship,Bundle,Winter,420.78
2.0,16.71,799,11.18,East,Outlet,Loyalty,Spring,50.0
20.5,13.88,1226,8.09,West,Neighborhood,Loyalty,Spring,382.78
8.96,9.88,1596,3.12,East,Flagship,Bundle,Summer,407.95
31.65,17.06,1508,7.81,East,Neighborhood,Bundle,Summer,541.64
28.22,11.66,1964,2.73,North,Neighborhood,Bundle,Winter,644.51
25.73,23.74,1755,9.69,North,Flagship,None,Winter,327.78
34.17,17.28,1836,2.82,West,Neighborhood,Loyalty,Summer,806.32
14.41,12.68,1547,5.14,West,Neighborhood,Bundle,Winter,389.0
35.98,12.55,775,6.23,East,Neighborhood,Discount,Summer,591.65
29.46,14.63,1312,14.51,South,Flagship,None,Spring,402.69
20.11,14.04,1877,2.98,South,Outlet,Discount,Summer,493.32
31.08,19.47,1377,2.88,East,Outlet,Discount,Summer,563.11
13.15,15.75,1626,1.5,West,Outlet,Loyalty,Fall,450.68
15.4,12.07,1257,17.28,West,Neighborhood,Discount,Summer,555.62
17.13,22.56,937,5.74,West,Flagship,Discount,Summer,316.65
17.77,15.2,1344,11.36,East,Outlet,Loyalty,Fall,312.89
13.55,18.08,1539,3.57,North,Flagship,None,Winter,188.14
31.78,12.57,1105,3.84,North,Flagship,Discount,Fall,624.61
19.93,16.45,1294,5.41,West,Neighborhood,None,Spring,397.78
24.82,16.24,977,5.53,East,Neighborhood,Bundle,Fall,292.75
17.44,7.44,1904,8.89,North,Outlet,Loyalty,Spring,524.64
7.44,23.06,1267,5.86,North,Neighborhood,None,Winter,108.4
24.16,20.16,2054,4.21,East,Neighborhood,Loyalty,Fall,296.17
6.7,13.41,2088,17.49,North,Neighborhood,None,Fall,303.81
21.45,10.59,1364,2.7,North,Outlet,Loyalty,Winter,341.16
11.05,16.39,946,2.99,East,Neighborhood,Bundle,Spring,165.11
37.9,15.35,461,2.74,East,Neighborhood,Loyalty,Fall,379.92
29.29,16.42,738,9.13,East,Flagship,None,Spring,290.0
22.85,15.77,782,7.65,North,Outlet,Loyalty,Fall,318.42
32.11,17.02,2020,4.97,East,Neighborhood,Bundle,Summer,676.74
15.23,20.79,1452,2.62,North,Flagship,Discount,Fall,548.99
26.35,17.27,1575,6.21,South,Flagship,Loyalty,Winter,526.13
23.6,10.8,401,9.99,East,Neighborhood,None,Winter,80.84
24.11,20.45,861,14.89,East,Neighborhood,Loyalty,Spring,395.8
32.18,21.56,1799,3.45,West,Neighborhood,None,Fall,365.48
27.86,27.61,1529,4.96,East,Outlet,Bundle,Spring,488.89
24.31,10.51,1334,7.6,East,Flagship,Discount,Spring,569.61
8.76,15.97,1654,4.18,North,Neighborhood,None,Summer,317.9
14.32,6.67,2136,1.74,South,Outlet,None,Summer,508.45
21.02,17.21,1301,4.98,South,Neighborhood,None,Winter,147.6
22.75,12.81,1431,1.96,North,Neighborhood,Discount,Spring,432.81
12.96,22.69,1487,10.55,West,Neighborhood,Discount,Winter,269.07
41.29,11.9,2476,4.44,South,Neighborhood,Discount,Fall,776.63
34.13,8.24,455,5.35,West,Outlet,None,Spring,407.95
26.82,13.11,1707,3.06,East,Neighborhood,None,Spring,468.83
22.58,7.1,1348,5.51,West,Outlet,Bundle,Fall,532.61
20.3,18.0,1655,12.65,East,Flagship,None,Fall,409.52
14.38,6.74,1104,11.32,East,Flagship,Loyalty,Winter,552.44
22.62,15.11,1378,2.25,South,Flagship,Loyalty,Winter,446.62
24.06,6.69,1720,0.5,North,Neighborhood,Bundle,Fall,639.13
12.07,13.72,2801,5.01,East,Neighborhood,Discount,Winter,447.11
24.67,21.57,1764,4.46,South,Outlet,Loyalty,Fall,428.78
20.76,16.44,1018,4.26,North,Neighborhood,None,Spring,159.24
6.74,11.55,1209,3.63,East,Outlet,None,Spring,174.07
15.12,14.88,1196,2.2,North,Flagship,None,Summer,410.42
18.69,15.07,592,20.0,West,Outlet,Bundle,Spring,449.28
37.1,16.89,1251,17.27,West,Outlet,None,Fall,397.68
26.45,9.53,1730,4.12,West,Outlet,Discount,Winter,596.84
11.32,17.37,827,6.15,South,Outlet,Loyalty,Summer,155.18
25.89,5.0,1872,10.68,North,Outlet,Loyalty,Winter,682.73
9.62,12.48,1619,6.13,West,Neighborhood,Discount,Fall,405.77
30.66,13.05,1070,3.87,South,Flagship,None,Spring,320.11
18.23,17.53,1336,1.77,West,Flagship,Loyalty,Summer,384.93
21.25,15.09,2119,5.65,West,Outlet,Discount,Fall,581.34
32.61,9.38,1730,1.99,West,Neighborhood,None,Summer,511.76
11.7,11.06,1404,12.09,South,Outlet,None,Summer,404.64
10.82,15.79,1293,5.47,South,Neighborhood,Loyalty,Spring,196.24
17.33,14.68,1434,8.02,West,Flagship,Bundle,Fall,622.71
30.31,12.68,1170,4.36,South,Flagship,Loyalty,Winter,549.18
9.85,13.08,453,9.73,North,Neighborhood,Loyalty,Summer,184.94
2.0,17.78,2319,3.39,East,Neighborhood,Discount,Summer,357.45
18.39,12.93,1470,6.88,West,Flagship,Discount,Winter,423.03
26.41,14.65,1579,4.24,East,Neighborhood,Discount,Fall,519.8
31.6,23.68,1374,4.74,East,Flagship,Discount,Summer,737.3
18.29,9.31,1069,10.59,North,Neighborhood,Discount,Summer,545.78
18.71,7.59,1316,3.04,East,Neighborhood,Bundle,Summer,594.53
31.23,18.13,680,7.21,West,Outlet,Bundle,Fall,485.01
7.04,12.29,2425,13.03,North,Neighborhood,Loyalty,Fall,379.43
18.89,13.73,844,10.34,East,Neighborhood,Discount,Winter,293.31
23.52,11.88,936,3.47,West,Flagship,Bundle,Fall,393.74
25.59,13.96,1202,7.9,East,Flagship,Bundle,Fall,442.64
17.92,21.39,1980,1.13,East,Neighborhood,Discount,Spring,168.62
22.28,18.21,1407,10.82,East,Neighborhood,Bundle,Winter,437.28
2.09,18.45,844,20.0,South,Neighborhood,None,Summer,297.15
16.73,9.34,1964,6.93,South,Neighborhood,Discount,Fall,572.4
25.63,10.4,1729,13.45,West,Neighborhood,None,Summer,434.03
14.14,5.0,1642,1.7,West,Outlet,Discount,Summer,564.51
22.47,11.76,1722,2.41,West,Outlet,Discount,Spring,510.95
25.57,18.83,2477,4.35,West,Flagship,Bundle,Fall,526.03
19.26,17.07,2383,4.98,East,Neighborhood,Loyalty,Winter,483.77
23.36,14.11,1091,6.96,East,Flagship,Bundle,Fall,556.58
14.3,14.91,2131,3.48,West,Flagship,Bundle,Summer,461.3
20.35,12.24,1572,6.19,East,Outlet,Discount,Winter,525.18
26.88,15.82,1625,10.57,East,Flagship,Bundle,Fall,707.23
23.26,18.06,638,7.88,West,Neighborhood,None,Summer,447.98
17.31,8.54,1323,4.24,West,Neighborhood,None,Summer,701.67
23.79,16.2,1034,9.22,South,Neighborhood,Discount,Spring,336.57
27.72,18.73,1773,4.1,South,Neighborhood,Discount,Spring,749.5
5.6,13.34,1882,5.95,North,Flagship,None,Spring,277.85
31.27,17.8,466,10.22,East,Neighborhood,None,Summer,230.6
19.31,26.26,1390,4.88,North,Neighborhood,None,Fall,302.38
25.4,14.58,1905,1.96,South,Flagship,Loyalty,Spring,425.22
31.58,16.57,1316,5.84,East,Neighborhood,Discount,Fall,577.61
11.03,12.05,1728,10.28,South,Flagship,Discount,Spring,332.77
16.32,15.73,1558,10.9,East,Flagship,None,Winter,275.26
19.69,16.84,1554,2.33,North,Neighborhood,Bundle,Winter,488.72
15.73,15.78,1278,8.98,North,Flagship,None,Spring,312.09
35.88,10.92,853,4.67,West,Neighborhood,None,Summer,433.5
15.15,15.83,895,14.02,South,Neighborhood,Discount,Spring,374.27
17.56,20.85,1719,2.0,North,Outlet,None,Spring,403.39
23.64,16.79,1409,8.87,East,Flagship,None,Summer,268.0
12.38,18.85,1338,4.3,West,Flagship,None,Winter,239.25
18.83,14.05,1209,3.53,North,Flagship,None,Fall,325.71
24.54,18.0,1263,10.52,East,Neighborhood,None,Spring,323.22
19.34,16.12,1871,11.61,North,Neighborhood,Discount,Summer,701.95
21.25,11.2,1249,0.81,North,Flagship,Loyalty,Spring,361.67
17.77,16.27,797,10.64,East,Outlet,Discount,Summer,326.92
9.88,11.03,1735,5.32,East,Flagship,Discount,Fall,306.85
24.57,12.47,1308,5.72,East,Neighborhood,None,Fall,321.5
36.04,15.76,1414,1.9,East,Neighborhood,Loyalty,Winter,524.97
22.15,16.19,2123,8.48,West,Outlet,Discount,Summer,646.27
23.8,10.24,1391,20.0,East,Neighborhood,None,Summer,401.25
27.54,19.22,1530,3.7,South,Outlet,Bundle,Winter,343.36
11.85,17.29,869,12.33,West,Neighborhood,None,Winter,50.0
35.62,12.18,1301,5.57,South,Outlet,Discount,Summer,524.72
23.62,8.85,1674,3.82,South,Flagship,Discount,Winter,611.43
35.05,14.42,700,1.58,North,Outlet,Loyalty,Fall,305.29
16.14,13.22,1490,13.46,North,Neighborhood,Discount,Spring,594.16
36.54,15.45,1445,6.07,West,Outlet,Bundle,Fall,564.73
28.2,13.55,1419,3.97,West,Neighborhood,Loyalty,Winter,429.21
26.42,6.97,1867,4.5,East,Neighborhood,None,Summer,567.34
23.87,13.45,1550,8.94,South,Neighborhood,None,Summer,486.41
20.01,13.78,2065,3.97,North,Neighborhood,Discount,Fall,648.24
31.6,17.53,953,2.6,North,Flagship,Discount,Summer,589.87
23.12,12.21,1461,5.15,South,Flagship,Discount,Winter,540.92
6.26,21.71,1438,5.03,East,Flagship,Loyalty,Fall,187.64
13.06,7.35,919,4.95,East,Flagship,Bundle,Summer,562.84
20.51,20.24,1830,4.01,East,Outlet,Bundle,Spring,409.43
24.48,14.1,2446,12.6,South,Flagship,Discount,Spring,670.43
21.55,18.44,1392,20.0,West,Outlet,Loyalty,Winter,379.47
31.75,15.32,1627,2.33,East,Neighborhood,Loyalty,Summer,493.85
6.39,19.56,1438,0.67,East,Flagship,Loyalty,Winter,80.99
23.15,13.45,1079,4.69,East,Outlet,None,Fall,357.2
7.46,10.61,581,0.77,South,Neighborhood,Bundle,Spring,297.76
28.08,20.68,1082,1.43,North,Neighborhood,None,Fall,384.48
21.24,14.55,774,3.75,South,Neighborhood,None,Summer,142.36
25.36,15.89,2167,8.89,West,Neighborhood,None,Winter,506.82
15.09,19.94,1348,4.65,North,Flagship,Bundle,Winter,279.93
32.24,10.87,1244,0.5,North,Outlet,Bundle,Winter,550.7
30.33,17.38,1800,4.6,North,Outlet,None,Fall,341.16
26.67,12.64,895,4.86,North,Neighborhood,Discount,Spring,513.06
20.96,14.47,1055,4.93,West,Flagship,Discount,Fall,517.08
26.64,15.29,1431,11.42,East,Neighborhood,Discount,Fall,423.83
16.34,9.0,1863,10.2,South,Flagship,None,Summer,592.76
28.84,11.88,1626,5.9,North,Flagship,Discount,Summer,854.0
35.2,20.4,1512,18.98,South,Neighborhood,Bundle,Summer,574.35
30.56,18.54,1435,3.74,South,Neighborhood,None,Spring,411.12
16.16,14.75,1580,5.1,North,Outlet,None,Spring,303.28
24.89,15.97,1491,5.5,South,Neighborhood,Discount,Summer,609.53
11.65,13.82,937,1.56,South,Neighborhood,Loyalty,Summer,58.53
26.58,20.43,1421,5.58,East,Neighborhood,Bundle,Spring,650.53
25.6,14.2,917,1.28,East,Neighborhood,Bundle,Winter,497.23
7.04,15.93,1436,3.29,North,Neighborhood,Discount,Spring,257.96
12.71,19.58,1184,6.09,South,Outlet,Discount,Spring,103.17
19.73,11.89,2543,1.81,East,Flagship,None,Spring,534.54
19.59,21.24,1382,7.06,East,Outlet,Bundle,Summer,320.82
12.32,8.88,768,2.88,West,Neighborhood,Loyalty,Winter,323.27
25.11,21.52,1340,4.23,East,Neighborhood,Bundle,Spring,437.38
24.01,13.51,1634,7.93,North,Neighborhood,Loyalty,Summer,472.21
20.45,14.03,2153,5.27,North,Neighborhood,Bundle,Fall,666.49
15.95,7.44,1135,6.95,East,Outlet,None,Fall,438.89
30.39,13.18,688,7.6,North,Outlet,Loyalty,Spring,504.02
35.24,10.84,1768,5.21,East,Neighborhood,None,Fall,486.1
18.13,12.57,779,7.23,West,Neighborhood,Discount,Winter,244.05
17.1,14.45,1204,3.25,East,Neighborhood,None,Fall,360.12
25.93,18.83,1284,7.87,South,Outlet,None,Fall,273.41
19.14,15.83,1369,4.71,East,Flagship,Discount,Winter,285.46
20.88,16.23,1710,12.82,South,Neighborhood,None,Spring,458.87
27.92,10.62,1092,6.18,East,Neighborhood,Discount,Spring,739.78
6.73,11.48,1277,3.63,West,Neighborhood,Discount,Winter,265.7
32.55,22.19,1394,7.96,South,Flagship,None,Winter,449.34
22.58,12.06,1467,13.18,West,Neighborhood,None,Winter,378.26
18.71,21.62,1444,3.9,West,Outlet,Discount,Fall,398.31
21.29,14.03,1596,3.4,North,Flagship,Discount,Winter,441.11
21.7,15.01,1780,0.5,North,Flagship,Bundle,Summer,731.5
8.15,19.28,1577,6.17,North,Outlet,Bundle,Fall,244.05
33.96,20.09,1604,4.37,North,Flagship,Loyalty,Spring,548.3
22.33,14.56,688,7.94,North,Outlet,Bundle,Spring,343.16
25.54,13.45,1423,8.05,East,Neighborhood,Discount,Spring,495.81
29.61,14.78,1616,1.63,North,Flagship,Bundle,Fall,674.61
13.83,16.35,1728,10.17,South,Outlet,None,Summer,312.77
25.79,18.57,1088,3.01,West,Neighborhood,Discount,Winter,360.62
19.86,15.02,1103,3.91,North,Neighborhood,Bundle,Winter,455.6
28.77,17.48,1142,7.09,West,Neighborhood,Discount,Spring,640.24
4.98,21.55,1641,2.2,South,Neighborhood,Bundle,Spring,222.11
21.21,16.53,1865,3.43,North,Flagship,Loyalty,Fall,430.92
17.18,16.25,1217,2.02,East,Neighborhood,Loyalty,Summer,315.45
25.46,8.92,1809,10.75,East,Outlet,Loyalty,Winter,527.39
25.76,5.0,1456,4.18,West,Neighborhood,Discount,Fall,737.63
16.34,16.55,1344,1.84,East,Neighborhood,Discount,Winter,233.77
16.3,14.62,1305,1.97,West,Neighborhood,Discount,Spring,464.3
21.11,12.94,1736,9.61,South,Outlet,Discount,Winter,470.17
14.83,15.97,1547,2.79,North,Flagship,Bundle,Summer,322.28
28.74,14.76,2424,3.84,West,Outlet,Bundle,Summer,626.41
19.05,19.51,1016,5.76,West,Neighborhood,Bundle,Spring,294.06
2.0,15.34,1633,4.41,West,Flagship,Discount,Summer,326.01
19.0,12.01,1162,0.95,South,Flagship,None,Summer,529.98
13.69,18.96,1009,8.52,South,Flagship,Discount,Fall,333.55
8.95,14.13,1395,4.66,West,Neighborhood,None,Winter,106.81
12.1,17.11,1462,6.9,South,Neighborhood,Loyalty,Spring,280.53
22.88,13.09,2713,8.95,West,Outlet,Discount,Spring,657.17
32.63,12.4,1317,0.72,West,Neighborhood,None,Spring,408.06
24.51,15.34,891,9.0,South,Flagship,None,Spring,338.66
17.15,15.05,1523,20.0,West,Neighborhood,Bundle,Spring,593.32
25.65,16.92,466,7.42,West,Neighborhood,Bundle,Summer,402.79
