AdvertisingSpend,StoreSize,Region,Sales
14.28,85.12,West,620.11
16.41,30.66,East,530.8
12.83,85.78,East,588.86
21.17,119.94,East,897.27
8.25,24.82,North,393.44
6.29,117.72,South,512.39
19.11,60.69,North,638.31
4.92,107.08,South,454.26
21.19,98.24,East,737.24
0.27,76.7,North,288.89
21.34,93.84,West,800.21
0.95,107.85,West,357.28
19.61,60.41,East,594.75
11.61,52.7,East,487.03
21.85,86.76,West,800.85
1.62,100.78,North,392.44
12.18,96.23,West,620.81
21.32,99.78,North,818.57
11.51,63.56,West,517.36
13.85,101.78,South,603.89
15.31,32.02,West,476.8
10,74.45,West,557.34
13.81,20.58,North,435.98
12.85,52.46,South,484.34
19.83,56.65,West,623.74
1,59.62,South,314.45
6.18,89.55,West,505.72
20.91,58.86,East,684.3
19.59,64.87,South,617.22
10.02,43.75,South,429.72
13.64,57.33,North,507.79
6.1,42.73,West,410.56
4.14,27.32,South,263.08
10.2,80.34,East,534.7
7.77,86.82,South,451.66
12.84,81.95,East,572.88
1.71,66.35,West,302.7
21.44,57.98,West,640.34
21.7,106.33,South,784.4
15.36,71.91,West,602.97
11.79,67.92,West,560.02
6.81,22.56,East,317.22
17.9,54.12,West,602.74
15.06,58.02,North,592.02
3.58,59.88,North,340.86
20.04,78.02,West,690.94
18.1,73.36,South,623.97
20.9,80.79,West,754.49
15.97,96.49,West,703.13
13.5,101.3,North,647.34
9.2,91.81,West,556.47
20.52,115.55,South,785.53
19.05,21.82,East,504.7
0.99,39.58,East,268.48
0.58,20.76,West,226.12
8.28,84.75,North,487.14
17.83,109.8,South,722.79
21.72,44.35,East,603.33
3.31,112.7,East,453.33
13.07,26.03,East,425.85
8.38,113.44,North,580.17
21.34,55.16,South,560.63
18.53,30.14,South,480.18
18.44,68.59,West,651.55
10.31,45.68,South,412.41
9.13,48.49,North,421.95
6.01,50.73,West,376.98
1.24,100.3,North,359.82
19.02,73.92,West,674.08
17.88,51.13,East,524.61
21.99,81.03,West,697.77
21.93,91.62,South,732.57
12.22,47.26,North,501.73
16.92,61.35,East,533.05
20.78,32.19,West,544.11
18.69,38.11,East,528.96
5.44,88.11,North,476.08
9.91,38.14,West,427.73
2.84,72.52,West,366.72
20.99,90.9,East,753.55
13.34,30.69,West,421.31
5.03,76.73,West,435.23
14.78,45.66,East,521.62
13.6,116.29,North,713.55
7.88,68.35,South,525.46
2.5,100.6,North,343.52
14.77,75.02,South,620.78
11.45,24.34,South,390.58
16.99,83.32,North,678.43
11.44,115.14,South,623.65
18.75,80.16,North,680.67
12.14,101.92,West,623.44
12.34,108.42,West,664.52
19.29,42.81,North,538.79
8.88,41.2,West,442.25
2.95,81.1,East,357.1
0.63,61.1,South,240.92
16.61,103.99,North,719.47
13.65,110,East,705.7
15.49,55.34,West,556.48
4.69,43.69,East,350.79
3,98.05,North,383.17
0.32,47.48,North,275.55
7.71,102.26,South,521.92
12.98,62.37,South,558.79
8.63,86.75,North,513.88
9.62,29.55,South,398.61
19.89,82.39,West,721.78
7.66,65.18,West,482.87
11.31,78.66,South,514.72
17.24,36.8,West,551.02
8.72,93.69,South,507.66
13.69,106.28,South,649.11
18.97,41.67,North,566.99
20.89,29.57,East,536.93
3.24,22.36,West,284.87
20.38,84.2,East,722.76
10.83,80.71,South,560.93
5.68,74.67,East,442.19
10.1,43.19,North,466.32
21.56,59.09,West,649.1
10.84,79.45,East,521.03
7.23,69.68,South,449.55
13.93,118.78,East,727.9
5.28,33.64,East,368.7
1.67,89.51,North,336.86
2.84,60.43,East,326.09
2.82,62.82,North,303.22
3.34,91.76,East,384.71
3.05,89.24,West,411.98
14.1,119.13,West,715.62
4,32.84,East,324.9
7.6,30.41,East,366.4
19.73,92.43,North,753.74
10.43,77.84,West,514.44
14.69,47.42,South,504.14
3.79,27.94,South,217.66
4.23,28.57,South,288.46
0.9,109.42,North,320.01
3.72,39.19,East,342.39
6.13,52.34,North,410.56
3.89,42.67,East,335.51
1.95,55.5,South,322.27
2.65,26.94,North,259.25
10.14,71.91,East,547.1
4.54,26.76,North,336.25
8.01,100.04,South,504.12
11.08,43.37,East,481.25
15.19,74,North,589.45
0.86,108.01,West,337.91
17.59,85.09,North,674.2
13.81,73.3,North,576.47
1.8,52.43,East,272.19
19.22,53.3,South,604.11
20.26,86.95,North,730.19
1.34,119.41,South,372.01
6.09,86.18,South,423.48
17.74,75.78,West,624.97
16.46,93.07,South,671.1
4.06,66.52,West,335.61
4.61,26.01,West,317.6
8.15,76.23,South,431.35
10.66,115.76,West,680
13.6,37.53,South,480.02
8.12,89,West,517.1
10.18,40.09,North,468.9
16.44,73.58,East,605.57
0.81,29.67,South,239.83
5.55,65.04,South,388.41
15.69,95.62,East,683.63
19.69,54.76,East,635.42
11.26,86.49,North,589.9
11.71,99.54,North,622.51
2.36,112.72,East,362.62
9.84,43.46,East,415.43
11.72,59.93,West,517.3
5.33,35.24,West,351.37
5.92,119.25,West,495.25
8.3,112.7,East,613.02
0.44,74,South,311.25
7.09,104.2,North,531.03
4.65,72.1,West,402.73
7.2,82.36,East,465.35
2.63,28.91,North,261.84
19.59,95.53,South,726.89
13.06,32.77,West,475.73
14.94,102.61,East,656.56
17.36,98.2,South,704.23
10.97,90.87,South,550.5
1.91,23.62,North,218.53
11.82,50.31,South,449.01
12.91,46.31,South,465.03
16.4,56.01,North,620.28
9.5,28.76,West,420.07
2.81,113.7,South,369.28
6.24,75.38,West,454.71
7.99,50.55,West,395.93
14.21,59.7,North,580.61
12.56,64.72,East,524.76
7.83,80.06,South,460.81
21.7,71.57,West,735.27
13.33,111.94,North,656.09
5.22,69.7,East,370.14
2.24,119.22,East,392.47
3.36,105.14,South,423.41
5.41,40.85,North,324.15
3.53,113.06,East,370.96
4.1,31.64,East,300.8
6.27,101.74,South,482.57
3.81,58.06,East,375.73
19.73,107.8,South,759.12
1.77,106.81,East,364.15
11.54,100.59,North,640.52
9.03,99,West,516.89
21.61,50.47,South,583.75
2.46,28.09,South,262.85
8.75,60.3,North,471.85
21.33,37.35,North,561.98
19.04,89.5,East,716.7
17.98,54.61,South,512.07
5.67,117.56,West,495.51
3.76,84.1,North,406.53
14.71,102.25,South,638.25
20.45,33.25,South,521.82
12.25,106.2,North,655.04
12.58,112.28,North,660.9
6.16,68.71,South,407.68
16.93,80.63,South,613.37
4.11,96.48,South,401.56
7.12,37.48,East,390.3
9.36,70.26,East,492.98
11.17,59.87,North,493.04
5.33,34.64,South,328.38
2.53,56.75,West,342.13
13.43,26.82,East,401.45
6.35,22.58,East,359.53
12.79,33.52,South,430.93
3.4,116.31,West,452.33
10.59,74.95,West,562.27
11.72,116.58,East,621.96
1.14,63.25,West,287.06
7.41,51.18,North,410.03
2.96,70.61,North,337.61
1.39,63.95,West,348.09
21.78,30.57,West,538.72
7.09,84.08,North,464.87
17.82,41.6,South,527.6
5.6,81.96,North,411.54
14.99,85.02,South,606.73
16.73,35.2,West,530.65
13.1,26.13,East,433.25
10.37,98.08,South,556.69
9.06,65.98,South,445.6
7.68,25.82,North,335.12
20.45,119.49,South,829.4
18.27,25.78,East,534.54
21.23,89.5,West,764.84
2.73,118.37,West,431.72
16.08,43.92,North,552.94
20.64,34.22,West,533.11
3.99,32.14,West,355.4
1.46,50.33,West,296.84
16.3,30.1,South,506.68
12.64,89.22,South,567.27
18.52,26.23,South,520.12
3.07,70.94,North,375.28
17.5,119.67,North,808.03
4.44,101.4,North,448.69
3.6,81.52,South,362.66
3.61,50.63,East,359.05
17.92,82.39,South,658.71
14.63,72.7,North,557.38
11.51,62.61,West,498.45
7.89,33.07,West,387.07
19.3,108.66,West,806.16
8.63,64.98,West,472.56
17.97,39.46,East,564.02
9.66,56.78,West,432.24
8.29,61.41,North,458.53
10.18,102.75,South,525.53
6.63,93.36,North,501.44
16.45,96.93,North,702.52
11.06,21.1,North,417.64
5.11,61.62,East,364.75
19.79,68.13,West,697.44
8.45,21.92,East,388.72
11.96,45.98,North,497.07
19.94,96.03,West,764.51
13.73,33.71,East,482.04
2.57,73.53,South,314.82
20.68,41.52,East,590.59
13.81,21.21,South,453.81
7.37,44.12,South,402.24
3.06,117.59,West,419.24
17.47,100.15,South,712.88
13.64,115.96,South,647.77
11.74,68.79,West,555.42
19.67,30.97,East,535.83
17.35,74.8,North,610.01
3.34,65.44,North,330.09
6.86,104.44,North,506.23
5.47,29.81,East,325.95
16.37,68.82,South,562.94
0.74,35,North,260.55
12.54,52.47,West,520.12
16.77,93.74,East,687.42
19.29,67.6,North,639.17
7.53,57.59,East,448.82
18.07,59.45,East,639.44
2.43,65.94,North,324.34
18.62,98.5,South,705.93
2.8,109.21,West,425.38
8.74,115.53,South,552.75
17.54,98.69,East,717.74
3.3,51.54,South,328.62
5.04,88.81,North,394.94
15.89,63.76,North,623.72
15.84,45.47,South,513.33
14.11,104.09,North,670.43
15.27,23.84,North,466.21
11.94,110.18,West,651.87
5.54,66.15,West,372.57
7.61,83.72,West,524.77
4,85.94,West,409.9
19.99,109.51,North,819.31
12.83,83.67,West,623.37
8.82,81.39,North,487.61
10.16,26.67,West,423.54
20.84,71.84,West,690.17
3.37,35.02,East,320.82
12.9,93.74,West,583.74
11.13,71.22,East,523.85
13.45,88.02,South,582.55
0.4,24.17,South,221.82
19.19,28.48,East,523.52
20.51,91.63,North,740.42
12.43,27.21,East,419.12
15.33,27.13,West,480.57
20.29,21.21,North,487.76
15.56,115.65,West,766.4
3.36,93.75,West,397.15
12.68,55.33,West,460.47
13.35,49.65,West,511.65
9.33,54.97,East,431.31
16.2,97.47,West,670.38
20.56,86.14,West,715.29
20.36,38.52,North,570.82
9.92,37.41,South,435.88
2.49,29.84,East,283.47
21.67,86.03,North,739.68
18.46,96.44,East,739.41
2.74,46.5,East,297.29
20.26,22.09,North,495
19.14,28.22,East,486.47
11.41,116.79,West,618.55
13.01,49.54,South,475.64
8.78,96.92,North,547.08
1.2,82.47,North,325.59
7.37,58.19,South,398.66
17.66,40.57,West,530.66
0.1,32.14,North,247.79
7.34,81.5,East,442.25
8.76,97.46,North,561.44
11.82,84.39,South,532.9
20.24,73.03,West,675.64
7.62,24.2,East,325.59
7.63,116.85,North,546.94
16.23,99.87,South,703.11
9.95,49.28,North,470.26
4.94,118,South,487.3
9.95,80.19,East,535.98
3.1,78.24,North,346.14
3.88,94.81,South,389.96
10.96,101.18,South,562.02
9.22,85.65,West,561.48
20.13,32.81,West,525.04
7.97,53.83,North,452.51
12.77,112.81,West,698.25
13.91,42.46,South,517.98
0.29,57.22,South,243.42
14.6,63.21,West,593.05
3.92,63.94,West,420.22
21.14,81.29,West,720.2
3.27,114.31,East,394.01
9.12,44.07,South,367.69
1.88,32.15,West,291.12
21.93,39.75,South,514.6
11.05,108.69,East,608.68
13.1,84.58,South,589.46
1.48,48.59,East,286.71
16.5,101.59,North,729.21
4.62,106.14,North,461.62
19.76,104.65,West,821.98
4.51,111.89,North,442.99
4.2,45.22,East,320.81
0.8,95.5,North,317.42
10.39,66.05,North,524.87
12.43,104.2,North,663.72
1.45,92.85,North,358.68
17.06,97.64,West,748.84
9.97,85.62,South,494.71
11.54,37.74,West,497.59
9.7,74.5,East,539.53
8.82,118.47,South,585.23
12.31,113.74,East,697.75
3.42,24.32,East,249.17
4,36.48,West,314.04
18.96,33.17,South,490.92
20.81,92.6,South,749.49
8.21,101.78,West,521.42
5.96,41.35,West,389.29
14.17,70.59,West,621.26
8.99,104.07,South,556.51
0.56,93.28,West,333.81
3.44,74.22,South,330.47
15.75,79.03,South,592.08
14.5,70.84,North,620.48
0.6,49.75,East,281.28
4.88,76.5,North,410.09
5.08,88.89,South,407.84
14.78,107.33,West,662.66
0.43,83.63,North,284.89
2.29,96.11,North,418.87
17.6,36.01,North,503.25
3.93,66.16,West,378.18
14.36,20.93,East,463.33
5.24,44.67,South,312.46
2.19,92.65,West,376.11
5.35,119.18,West,524.56
15.89,29.92,South,466.01
18.83,60.15,East,678.18
18.26,100.01,West,715.37
8.74,40.4,East,434.36
14.7,75.51,North,605.98
4.51,93.31,West,451.82
6.45,81.6,East,461.02
19.72,38.8,South,517.11
0.29,55.54,South,255.27
1.88,98.38,North,327.94
4.57,75.42,North,414.95
0.58,20.52,West,239.22
3.99,96.1,North,436.72
12.83,23.53,South,435.56
9.27,94.57,East,551.06
19.64,40.25,North,570.45
17.98,115.81,West,778.67
7.52,56.79,North,414.58
5.71,52.69,South,390.22
8.35,34.89,South,407.63
12.99,50.56,North,507.17
5.9,107.67,North,494.82
13.73,119.63,East,686.54
9.01,56.83,West,488.82
12.15,64.86,North,550.63
9.59,92.21,East,587.49
6.48,108.62,East,485.68
20.87,79.3,West,714.53
16.8,59.15,South,571.06
3.08,61.26,South,337.4
19.11,89.56,South,692.71
10.72,20.32,East,375.47
19.68,81.96,West,734.41
17.6,55.55,North,609.52
9.35,99.42,South,518.93
0.49,29.3,West,272.1
5.91,78.82,West,468.69
11.92,68.1,West,547.34
13.94,84.23,West,626.84
5.67,26.49,South,326.51
3.07,78,East,345.33
18.37,76.15,East,662.21
21.66,76.07,North,669.34
11.57,80.35,East,576.46
3.78,87.65,East,363.42
5.99,100.5,North,515.67
0.4,46.98,West,255.99
20.11,102.5,East,772.88
2.59,69.83,West,334.15
12.68,27.71,North,440.85
6.03,25.86,South,350.36
12.19,53.42,East,444.8
14.33,98.49,South,669.84
18.25,90.77,East,714.93
4.54,98.86,West,418.82
0.24,71.73,North,264.34
3.01,64.02,East,377.72
19.8,34.75,East,519.24
19.23,52.82,South,550.29
13.14,63.4,West,578.81
13.21,28.86,West,469.02
14.63,42.06,East,483.95
3.86,79.82,East,391.49
20.12,93.57,South,704.02
9.21,119.83,West,633.73
8.43,113.31,East,587.88
11.42,84.26,East,575.76
1.03,62.12,West,306.45
3.66,83.62,South,411.75
16.24,98.57,West,710.26
1.82,31.83,North,244.62
13.27,60.99,South,529
5.4,103.98,South,498.36
8.56,58.38,West,435.63
6.35,77.19,West,442.05
7.82,78.78,East,485.47
15.82,38.45,East,508.02
6.54,56.22,East,381.74
12.46,53.45,West,540.6
10.47,22.62,South,430.7
14.6,22.42,South,434.02
20.61,103.17,North,778.27
16.12,47.31,West,518.96
4.73,71.81,East,399.22
0.69,49.87,South,276.45
5.77,114.07,North,512.95
13.09,45.93,West,505.85
1.13,62.97,North,285.99
10.92,107.27,East,586.41
13.13,104.19,West,681.84
7.35,38.61,South,387.18
16.96,100.26,North,690.4
2.35,65.82,East,362.92
1.65,68.3,West,335.13
16.02,33.35,East,527.08
10.9,28.06,West,397.84
15.14,92.79,North,637.8
9.57,69.65,East,488.93
5.42,63.69,East,405.36
18.02,92.95,West,764.42
17.59,96.55,North,739.63
15.28,35.89,West,502.86
5.99,81.02,East,416.96
12.99,33.54,South,468.06
7.94,95.14,North,498.75
2.01,85.7,West,392.91
20.18,115.66,North,828.08
3.01,26.9,South,302.2
20.91,25.71,South,512.44
9.81,48.22,West,455.02
