Tenure_Months,Avg_Monthly_Spend,Support_Calls,Products_Owned,Referrals,CLV_Target
47,264.0130625198144,4,4,1,11691.09
3,162.82325663303388,2,1,0,955.52
1,291.21055657232773,2,4,1,1031.27
5,350.66494498404353,2,2,1,1527.89
14,439.1949996131877,0,1,0,5845.48
27,325.4198499100391,2,2,1,7921.28
9,385.33833778071585,2,4,0,3277.68
15,96.83438477819504,3,4,1,1442.37
42,241.54758772149916,0,4,1,10358.46
51,24.479177517004782,1,1,0,1396.73
63,138.40585497037904,3,2,0,7889.07
52,368.70162325424235,3,2,1,16293.71
4,496.06877664769445,4,4,1,2400.34
23,67.60548780186363,0,4,1,2144.48
15,212.71727161341835,3,4,1,3744.96
43,404.03406497559655,1,4,0,16005.05
29,117.93710462187144,2,3,0,2752.31
36,286.4407756650974,5,3,0,8513.77
13,371.8742220942439,0,3,0,4873.0
32,315.6730161248859,1,4,1,9158.71
71,110.25187261539975,3,4,2,7908.08
59,190.58459296915493,3,2,1,9825.35
28,396.2200565529907,1,1,1,9163.01
66,286.028726783368,0,2,0,15566.79
42,22.510214500598114,3,3,0,1269.3
45,385.27556481348506,3,2,1,15402.37
62,36.949450371314754,0,4,2,3356.23
57,377.9522157109914,2,3,0,18832.11
6,117.19066887931396,0,3,1,0.0
28,479.8752704573025,4,1,0,11662.85
28,196.61156062500055,0,1,2,4748.84
44,176.92717584227796,2,3,0,6251.54
30,91.46626415957344,1,3,1,2300.02
62,166.69002343530315,0,2,1,8537.13
62,440.7923656775363,1,3,3,24529.94
1,498.2404820610787,2,4,0,532.0
27,196.7885746432872,5,2,1,4236.09
62,235.33310285818044,1,4,0,12966.7
3,366.5940503373138,3,4,1,1115.32
70,445.37397462323577,1,4,0,27567.54
27,304.6612804096564,5,3,0,7872.96
9,207.9323351253581,2,1,2,2062.78
62,218.05848360733938,0,1,0,12205.03
37,353.8967103184673,1,4,0,12341.14
51,21.544766530053767,2,3,1,1570.26
44,317.4028819807235,0,2,1,13216.01
24,190.63664501185156,1,4,1,4448.23
59,401.21471901300043,3,2,1,19557.1
32,64.63550711510344,0,2,0,1541.54
52,302.3370881352274,0,3,2,14012.06
62,250.8669871453394,2,3,2,14308.0
58,328.3162524345091,2,1,0,15709.97
52,51.1297253518248,2,1,1,2349.92
12,298.392217965503,4,3,0,2752.34
39,289.5126022205714,3,4,1,10021.96
2,289.11684531976204,1,1,0,1193.41
3,309.67407996629834,3,2,2,1617.31
56,344.70460986865385,1,4,2,17190.4
59,406.3947198467695,3,2,2,21659.83
2,149.5139456615429,3,3,2,1078.79
2,416.0237168864298,2,2,2,1485.14
54,259.16272748645775,3,4,1,13101.48
1,56.987973984478955,2,3,0,295.89
19,48.104446037110016,3,4,0,1538.8
2,180.4343929741092,1,2,0,891.44
53,396.75054901350444,3,4,0,18266.08
44,359.68684867563957,2,3,3,13892.33
32,398.5351830427551,4,2,2,11466.49
70,268.2891470919725,3,2,0,16621.94
32,231.29551901863547,1,1,2,7236.97
68,90.7772128190163,1,1,1,6192.62
55,177.53252173246955,2,4,0,8618.99
56,228.32929576346012,4,1,1,11411.23
17,62.52820624621627,2,1,0,630.19
38,125.8937373013814,3,1,3,4904.53
24,307.14814115059465,1,1,0,6872.21
69,373.11829483481114,2,3,1,22934.42
70,499.2068054686158,4,3,1,30279.45
11,467.8943990449077,4,1,4,5201.69
16,328.43129577689194,1,4,2,5059.85
59,222.19906558115457,3,3,2,11865.47
70,325.3651350599517,0,1,1,19153.02
3,397.11277667851135,2,3,2,1701.54
20,76.8013716432259,5,2,0,769.4
59,216.75434705421836,1,3,0,10736.72
36,423.10509710509626,2,3,1,13993.27
19,204.2398169278611,2,4,3,4856.6
67,294.4986901890495,0,3,3,17842.51
19,302.12929321385514,3,4,2,5873.6
20,108.54860150414689,1,2,1,2420.79
71,193.87301199309843,4,1,1,12102.96
52,180.56541859612742,5,4,0,8493.88
33,32.574420095391105,3,3,0,805.91
40,31.612046667850517,2,3,0,663.27
39,419.21458096437124,0,4,3,14728.75
1,151.07398878694997,3,2,2,735.46
11,268.6778077946314,1,1,2,3534.18
57,163.38827532261107,1,3,2,8910.62
50,471.52603765536344,1,2,0,20581.16
23,144.4624442555714,1,1,0,2595.39
31,226.23527011468883,2,1,0,5992.08
42,438.91052023260886,2,3,1,16313.12
7,424.12811206006813,1,4,0,2691.61
16,109.32868056621311,0,3,1,1807.54
60,405.268788701941,5,3,0,20779.77
2,239.92970563418848,0,3,0,1135.58
1,251.8250586009705,0,2,1,378.62
48,84.07038675965302,1,4,0,3913.86
12,58.68872660341984,1,2,0,1299.88
69,369.4108673474073,3,3,2,22229.22
37,258.3013531305439,1,4,1,8931.7
32,229.68833725528617,0,1,1,6603.67
9,370.1639497531504,1,4,2,3795.66
19,387.44619151573266,4,3,3,8101.02
48,96.27592048128972,2,4,0,4544.5
3,312.90807174926783,0,1,1,481.2
20,84.96995949328905,3,1,4,2982.95
24,380.6600412939419,1,4,2,8955.21
54,335.33847500822696,1,1,1,15572.33
33,479.1750181200598,0,2,2,14969.0
24,53.09984785108217,3,4,2,1793.96
36,47.386266152602076,1,1,0,2110.38
38,155.44979585273606,0,1,1,5456.27
25,145.61872819323486,2,4,3,4729.28
18,138.5498235545599,3,2,1,3667.56
66,455.0021986500976,1,4,0,26175.62
54,139.78217592776292,5,1,1,6555.18
35,150.53586854174287,3,4,0,4543.02
61,384.5111659606226,3,1,2,20392.55
41,235.8751243762592,4,3,2,8557.19
33,392.82106733848696,1,4,0,11480.82
68,51.37575563090492,2,4,0,4422.28
33,254.03417296322448,2,1,2,7736.73
14,36.13452808797567,2,1,0,313.89
21,50.073537658570174,2,1,5,2135.65
48,455.08997760531724,3,1,1,18615.39
20,86.83777813644568,3,4,1,2551.28
8,275.56192749210425,2,1,0,1894.32
7,217.32588924833914,3,4,2,2915.58
67,186.7247966042445,1,2,1,11014.64
17,451.9200059298908,3,4,1,7112.92
33,30.47523045223496,5,1,0,497.13
48,338.6190493642828,0,1,1,14035.73
59,482.4293284225042,1,2,2,24010.6
22,288.8807280616841,2,4,0,4965.5
30,469.67478177588407,0,2,2,13110.81
38,45.08378205729141,2,4,1,1653.23
51,221.02079315559746,0,1,0,9897.9
54,144.87573966178456,2,4,1,7223.39
8,370.7940631907503,1,1,5,4332.44
27,491.0226034386784,3,1,3,11093.83
27,143.13442997323895,2,3,3,4617.23
21,334.0038087075557,5,3,2,6841.83
30,115.08686372467525,3,4,1,3779.33
28,291.35852219437277,1,1,2,8040.23
64,242.68759361040136,1,2,0,13486.82
69,486.5625582231378,3,1,1,27472.03
61,312.09309089430394,0,2,0,16686.84
48,187.763058601673,0,4,1,8636.65
19,74.76597674620803,1,4,2,2179.94
4,92.59847779276859,1,2,1,528.33
35,128.15212637659283,2,2,4,4891.12
64,140.46399744334303,4,1,0,8151.06
49,428.2957077637461,2,4,1,18125.55
17,289.386938375612,6,1,2,3787.69
44,271.22763745969587,1,2,1,10009.32
30,75.08905849722439,2,3,1,2512.86
46,432.8670528077288,1,3,1,18442.98
6,366.9508655400722,3,3,0,3252.44
37,52.48081371200076,3,2,1,2277.65
24,359.76084667028897,2,1,2,7428.24
46,280.8983443244701,4,4,2,11517.69
53,59.22816595845356,2,2,1,3416.92
60,239.9843079337551,3,3,1,13363.48
63,252.65421782242254,2,1,1,13565.93
32,99.57177927837236,2,4,1,3966.61
33,473.9351105601355,1,4,2,14225.61
67,427.98817831071773,3,2,0,24906.06
18,341.130721917972,3,2,1,6173.32
25,241.90186928029146,2,4,1,5276.66
54,217.64745996056408,0,4,1,11024.58
58,332.467264232458,1,3,0,17461.72
67,281.8072973153146,1,4,0,16356.73
46,49.89109082330509,5,2,2,2182.41
24,266.0012714097592,1,1,2,6245.67
32,407.073736271763,3,3,1,11704.6
47,240.43514124653987,2,3,1,10077.84
23,44.939157226048835,3,4,0,1342.85
66,397.4135357043359,4,1,0,21431.91
27,116.6546154252677,3,3,0,3137.16
2,144.13800074625863,3,2,1,1252.59
17,99.05904964750204,2,4,3,2441.6
33,178.50323113831882,3,2,1,5099.55
9,383.2407227305448,2,4,0,3526.63
43,269.3052125618899,2,3,0,11440.07
48,118.34301159234202,5,4,1,5848.44
39,441.3584375129796,4,1,0,14552.0
42,442.199290376734,1,2,0,16062.15
26,437.8776440220833,2,1,0,10359.22
50,134.62218146313887,3,2,3,6302.42
25,236.5948852068743,2,2,0,5493.53
24,492.79503494762,2,4,1,10202.44
13,390.56598862879537,0,3,1,5473.85
60,33.040362188268716,3,3,1,2157.02
7,51.29820380503618,2,1,1,680.58
57,242.68706086991972,3,4,1,12321.98
36,456.4256988135489,2,3,2,15195.68
45,278.5768630173028,3,2,0,10743.83
20,258.9500038564593,2,2,1,5788.94
65,70.62737597918269,2,4,1,5137.93
8,335.2544502676611,2,1,1,1979.81
16,414.60951708810825,3,4,1,6450.82
14,202.6016036036299,2,1,0,2765.98
15,392.29368844415717,1,4,0,5329.43
66,482.94879387238956,1,2,1,28254.95
32,117.80790038129076,3,4,1,4312.25
63,271.1982229734758,0,3,0,14936.27
51,157.82621988059626,0,3,1,7913.56
25,400.5701211362429,3,4,4,8771.1
58,297.2448156229556,2,1,0,15323.21
63,324.5995604241458,2,1,2,18352.14
62,402.99879661562915,0,2,0,20992.57
22,210.06582687797834,2,2,0,4240.25
58,459.24323283538075,1,1,1,21922.53
58,275.8538562781472,2,4,1,14025.27
49,95.81831496096704,3,2,1,4787.02
52,354.0315767210252,1,1,1,15997.07
42,400.76544821036214,5,1,2,14698.2
70,172.0456049924128,1,4,1,11059.17
15,431.4460433594014,2,3,0,5824.1
54,454.9487622875679,2,1,1,21713.02
60,152.91415394134827,1,2,1,8070.6
8,492.0903069033066,3,4,1,4290.2
53,87.54153346340404,1,4,0,4105.26
60,116.96752083319518,1,4,2,7286.02
5,108.42792283425254,1,3,0,751.98
68,449.1150608037778,1,3,1,26592.35
6,334.0604251159817,4,2,0,1654.56
47,93.01005594669098,0,2,0,3934.1
55,231.3552408168075,1,4,2,11453.22
40,315.343052033505,1,2,0,11127.35
52,60.06276079490398,1,1,3,3692.83
16,443.55985683552257,1,3,1,5993.11
13,405.7296970119369,1,4,1,4988.4
30,262.49925131678634,0,4,1,7556.67
19,484.2207753244018,3,1,1,7760.63
17,220.52527005204786,0,1,2,3745.17
63,492.37295313751895,3,1,1,27514.26
19,340.601599425741,1,1,2,5626.87
58,324.6422111618919,6,4,1,15515.89
55,99.65834974197679,1,3,0,4854.57
62,443.32532398622914,2,3,1,23802.06
23,225.19505020189527,1,1,2,4805.39
9,97.8720347755901,1,2,1,1347.52
12,26.05160958836434,4,4,2,863.91
1,288.68272814642364,1,3,0,128.15
58,273.15181861888465,2,1,0,13231.92
1,365.2897387371961,3,2,2,659.92
34,447.323865448545,0,2,0,14338.26
48,58.115160628654166,1,1,2,3486.94
1,371.11831536337394,1,4,1,309.8
16,109.95773316683946,1,3,2,1715.38
61,431.9249855154387,3,2,2,23016.07
64,413.15048665359495,1,3,1,24098.75
63,279.5810023930613,2,3,1,15874.5
69,360.9165433391895,3,2,1,21566.96
22,170.88805432819922,1,1,0,3124.82
67,246.16059148775102,2,2,1,14934.57
26,414.3857109010264,3,2,1,9663.2
16,240.44729464314267,1,4,2,5052.81
51,191.74316735621207,2,3,0,8003.95
57,257.22197468014394,3,1,3,13408.98
29,417.5596411698648,2,3,0,10366.25
69,180.8998627380189,0,2,1,11321.53
47,103.40556470515702,3,1,1,4484.28
62,361.7667297587748,2,1,2,19870.2
69,416.4695420998793,2,1,2,25482.78
16,68.30598969129599,0,1,3,2293.36
48,135.13957412285347,1,4,1,7036.09
39,88.14655508527707,0,1,1,3327.49
33,187.01187755944,1,2,2,5787.27
23,236.16846987459806,1,4,0,4659.6
10,379.4366417423871,2,2,1,3898.18
69,332.5508407432036,3,2,1,20308.41
34,318.04571238964695,3,3,2,9387.55
52,189.13997437263413,2,1,1,9121.64
10,423.89482548068474,2,1,2,4111.22
19,246.21784035111898,4,2,0,3565.07
58,489.97037024727416,1,1,1,24048.24
1,324.3882263819537,3,4,1,554.77
69,80.60707595096132,3,3,0,4727.67
4,344.5652297962083,4,1,1,1660.68
16,176.0499274072155,2,1,1,3039.47
24,349.4370544093268,4,4,0,8355.13
2,53.427751117954756,3,3,2,677.71
32,103.9430898444605,2,4,0,3457.96
24,430.7538842747774,3,2,2,9118.92
12,129.04618737128715,2,2,2,2033.61
50,421.7797401166112,2,1,1,17479.33
35,154.052522458117,4,3,0,4429.59
33,328.58331682817965,4,2,1,9959.62
33,353.1922752847189,1,4,1,10005.03
61,266.0742815096254,1,2,2,14817.2
51,166.54912481443102,0,2,1,7510.75
43,122.06930065812614,3,4,1,4481.45
12,35.930890189964586,1,1,0,0.0
67,165.89427259554742,6,3,1,10438.11
65,333.51813945501584,1,1,1,17892.51
33,470.3863128552717,1,4,2,14214.88
40,438.178151486265,3,2,3,15996.79
43,387.71109273694526,3,3,0,13837.31
44,398.45472476158335,0,1,0,14775.87
29,339.19275366847774,2,4,0,9095.96
13,144.93769163168145,1,2,2,2465.81
12,455.4536147387983,3,2,2,5067.57
46,341.95150971480035,1,1,0,13586.88
2,289.0115028706112,3,4,3,1660.88
35,73.27494522247092,5,2,0,1928.25
8,234.5866610270842,0,2,0,2396.15
26,240.97197017692463,1,3,2,6317.7
34,434.9905325708816,2,2,2,12327.98
7,282.39114569013844,1,1,1,2265.39
68,202.59226350579664,5,4,1,12087.83
58,488.8641576851165,1,4,1,24748.42
29,73.14588479663152,3,3,2,2620.8
36,222.8232455897334,2,4,2,7502.16
21,40.17184408227454,2,1,2,1854.19
36,375.1539779681266,0,2,1,11301.6
10,460.6767450555923,2,3,3,5055.82
24,154.41791818423494,2,4,3,4553.97
64,432.004004863578,4,3,3,24542.28
49,160.26475062171093,0,3,1,7302.43
36,457.1696775890793,3,4,0,14255.11
24,381.9017137264563,3,3,2,8211.47
23,406.35525288389056,3,4,0,7996.18
62,28.64314668821816,2,1,0,1933.65
37,482.14897139553244,0,4,1,15774.57
12,368.80207619375517,2,2,1,5254.61
55,166.280525785344,2,4,1,8789.91
13,418.1094391322465,1,2,0,3517.14
23,155.13017523916636,0,3,1,4066.28
30,438.9218429917414,0,4,3,12514.89
17,74.03858739772977,1,2,0,856.42
62,357.769269181182,0,4,0,20079.03
13,279.53526878955694,2,4,3,4157.16
59,66.33654569381159,1,4,1,3958.22
19,136.10903756424273,3,1,2,2851.25
49,25.9539374131111,1,2,1,1943.66
12,245.00862342296278,1,1,0,2652.01
61,164.6073251648002,6,1,2,8930.88
19,307.2115924629242,3,2,0,4810.36
9,162.67414770013625,1,4,0,2228.75
71,163.96117352335264,1,1,1,10297.06
28,376.7327353911696,4,1,3,9576.14
52,43.10856126960965,3,1,1,2058.01
16,453.38959769215387,0,4,0,7306.92
69,429.0866597077671,0,1,0,25180.96
12,340.5462479486751,3,3,1,4522.67
25,304.74635365154444,3,2,0,6427.53
52,448.30519910703305,4,3,0,20463.69
53,108.95848617378293,2,4,1,5741.99
23,57.905197851597734,1,1,1,1174.29
16,134.9648815565783,4,2,0,1923.56
57,401.39757377609135,2,1,1,18660.88
39,36.641728028711995,1,4,1,1782.83
53,299.747280840075,2,2,0,13003.8
42,497.8100077718288,2,3,0,19228.26
58,430.73412504201895,2,2,0,20638.11
39,270.293930740923,1,1,0,10190.44
14,50.547636457588325,0,2,2,1568.8
5,419.0592869051407,3,4,2,2481.62
35,307.50968392506104,4,4,2,10434.3
18,75.16783858859208,6,2,1,1212.49
9,65.05149671521097,4,4,1,698.93
58,456.62087332956435,2,4,2,23563.18
17,341.21612621027765,1,4,1,6065.03
7,418.0576636720427,4,3,0,3408.19
46,441.90987213548834,2,1,0,17597.97
13,294.45072898319467,3,4,0,3481.94
40,268.3742488424198,2,2,1,10186.63
42,226.60515695407528,3,4,1,9285.47
9,172.13436213973725,0,3,1,2120.69
50,228.60606121218166,2,2,0,10427.39
27,391.4622347504751,2,1,4,11127.14
66,308.92324688726313,2,2,0,17293.56
5,448.4111791783261,3,2,4,2599.13
29,232.8224069020101,2,2,0,5710.6
37,311.40299778500196,2,2,2,9888.59
38,323.02762548415456,3,4,0,11171.65
8,304.0146379070363,5,1,0,1264.61
65,357.26421108104785,3,4,0,20809.32
17,133.968064819907,0,3,0,2139.16
71,265.9346132219795,2,3,1,17247.43
45,70.02790534800688,3,2,0,1986.92
4,204.56543726951003,2,4,0,1050.57
36,254.08019293820692,3,4,1,7937.69
70,333.0676445818268,2,1,0,20508.91
31,476.2549052413777,0,1,0,13602.85
19,308.31251194321084,2,1,0,3974.67
61,376.9250797647487,1,4,1,20771.51
54,263.00770855769736,2,1,2,13093.2
39,324.369935060639,2,1,1,11213.39
19,54.04746374421124,4,1,1,1285.21
39,142.10795880408654,0,2,3,5952.36
67,193.68948473846658,2,3,0,11735.68
45,246.79681040312653,0,3,3,10177.43
13,41.91139784114419,0,4,0,1448.43
58,87.21156682559248,1,4,1,5176.46
20,152.87086773982676,2,2,0,2865.02
61,486.33569163250434,0,3,0,25974.28
39,179.04656340946437,1,1,3,6295.4
1,251.3797078937996,4,1,2,22.39
3,114.12690211442862,3,4,1,962.81
62,313.1744341163688,4,3,0,17479.05
63,154.72794344766766,2,4,1,8598.36
25,119.35643765044486,2,4,1,3359.32
56,267.95486165407,2,1,0,12503.63
33,22.642783597001994,1,1,0,475.2
38,23.678735671628157,1,3,2,1825.98
6,125.15302836889174,1,4,1,1718.61
58,37.62625400039415,1,2,0,1858.89
44,71.85236198273186,3,3,1,3718.29
45,182.65311168260075,2,4,0,7661.82
32,405.24112619831016,2,3,1,11511.09
45,294.5833488172644,2,3,0,11783.26
61,266.08050845907985,0,3,1,15378.09
47,160.87463513989837,1,2,2,7468.61
21,467.24178532775187,4,2,1,8337.43
36,210.567219793852,2,1,0,6495.78
19,61.804528061970316,4,1,1,1261.58
20,316.1919277365446,4,4,2,6600.06
57,74.64242886876868,2,3,0,4057.23
18,185.7071085448122,1,4,0,4140.9
47,263.55773058454827,3,1,0,10446.25
49,439.62681184888436,3,2,0,17576.23
14,256.90235856325694,1,1,2,3754.05
15,357.08420769519887,1,4,0,4896.73
31,496.55208271955377,4,1,1,12479.52
1,83.11477755103118,1,4,3,1135.35
54,151.87113224936937,4,4,1,7506.15
3,209.39651628687028,0,4,1,1845.24
16,222.47752569863906,3,4,1,3130.73
57,217.29011612746197,3,1,0,10685.64
12,455.65328122714635,3,4,0,6284.69
16,362.7356693440911,2,4,0,5359.03
24,311.7945027635378,1,3,0,6672.5
28,168.4989045741354,0,4,0,4886.85
8,415.4193844262214,2,1,0,3149.97
36,478.4290455127947,2,4,0,15914.3
8,414.17517562410876,2,2,0,2941.65
58,20.751250491906994,3,2,1,1655.98
60,325.4726576880354,3,4,0,17396.4
50,44.54498309220835,1,2,2,2540.02
28,143.65146576018648,2,2,0,3586.52
41,48.57185616693041,1,1,2,2294.1
64,309.8218174157061,2,3,3,17401.26
27,349.56315847645124,0,2,1,8387.94
63,74.95406627163446,1,2,1,5023.71
17,204.24266386159016,1,3,1,4023.59
33,238.99352429866016,2,3,2,7320.49
29,197.14545044523996,1,2,1,5358.36
13,78.09200023289266,1,4,1,1997.26
46,221.0949392899882,2,2,0,9036.85
35,380.5654629480407,4,4,3,12884.01
6,54.08367897596263,0,4,1,1300.51
69,58.48640675931365,1,4,0,4056.15
47,190.29022008127242,4,3,0,7806.54
25,472.028341577084,2,2,2,10100.01
66,340.91487042699873,1,2,0,19705.99
10,345.7615792028311,1,1,0,2939.11
56,193.72159560217517,3,3,1,9132.17
30,304.95717978009844,1,1,0,7634.51
5,24.86296833331682,3,1,1,636.95
33,325.3261022765803,3,4,2,9203.86
65,458.3777348365936,2,3,2,25640.56
18,314.0352648055132,2,1,0,4927.41
49,439.3753248638456,4,2,1,19400.52
11,367.50706662372505,1,1,0,4024.93
26,77.86803987377132,1,3,1,2884.84
63,453.177587497204,2,2,3,25337.08
59,51.893045290771944,1,2,2,3289.25
27,276.30438682292663,3,2,0,6875.68
49,88.22581942085968,3,4,0,3830.12
33,25.61917315083395,4,2,2,1032.88
1,222.57644486126674,1,4,1,519.12
21,161.619539673995,1,4,2,4354.57
55,253.28023702284946,1,1,1,11839.79
6,297.0559456325844,1,1,3,2818.78
69,40.994754708294735,2,2,0,2661.92
5,79.0415816593979,0,3,1,1409.99
3,288.14835029620417,1,2,3,1248.91
53,184.72032952287594,2,1,3,8886.22
23,370.00327402373506,4,2,0,7573.75
53,333.09999132413105,0,1,0,14955.09
37,425.8900942351553,0,2,3,13165.29
17,352.39655680122814,1,3,0,4843.66
1,226.3669171472711,1,2,4,987.43
51,343.02397874932757,4,3,2,15150.12
45,152.1829636426009,2,3,0,6437.41
4,167.03047941354208,2,2,0,907.17
62,398.7128767619808,2,3,0,21453.18
65,234.28136787275943,5,3,1,14256.94
32,403.2225634488092,3,1,0,11572.16
34,414.76273936077365,4,1,0,12363.47
39,431.6299220774162,3,3,1,14102.25
26,459.9849132037795,0,4,1,11047.22
34,226.8729058463822,3,2,0,6845.12
54,173.05607279414664,2,3,1,8392.78
3,299.45539836517463,3,2,0,1696.02
50,198.16276325006123,3,1,0,8457.35
12,308.5156000641118,1,2,2,3343.87
65,358.68121406903583,1,3,0,19744.05
54,350.4344088762257,4,3,2,17939.55
5,199.78538576965826,0,3,3,1881.08
57,100.09289681540136,2,3,1,4731.92
17,226.65408246185962,3,4,2,3992.43
47,88.44518915931619,1,4,5,4709.62
23,447.246576888228,0,4,2,10324.0
14,186.02118115417156,3,3,0,1760.37
66,94.14067866719542,2,4,1,5554.63
51,32.21492475476042,1,2,1,1902.78
38,329.99474541751243,2,3,0,11534.69
64,325.7131123782768,1,1,1,18041.66
38,183.48999995902,0,3,2,6384.05
50,54.42170664687248,2,2,0,2582.66
30,216.62186954971136,0,4,1,6182.85
51,169.3843976304289,3,3,1,8343.56
63,345.0179070728045,2,4,0,19389.6
52,310.7740397372914,4,3,1,14011.6
38,195.0049895348192,1,2,0,6863.62
30,124.58842604239524,0,3,0,3725.27
51,494.2572637546841,0,4,3,23523.87
5,237.92077817413514,4,4,0,1740.01
29,350.37163317451376,0,2,3,9946.59
4,87.46542443761317,5,3,0,978.85
10,253.08305583651094,0,1,3,3057.78
56,33.21762553734344,3,3,4,2651.39
17,262.618456597016,2,2,0,4091.46
17,482.72835541649715,1,1,0,6888.02
69,204.41922223318412,1,2,1,12737.2
34,38.71808603595756,1,3,1,1793.74
6,34.8587796412849,2,1,0,365.68
53,206.23364477449735,3,2,1,9220.43
66,96.81196950233314,2,4,0,6118.24
43,31.209006237529238,3,1,1,1000.07
23,382.9825346960849,3,1,0,7975.01
55,240.09104426330754,1,2,2,12383.87
16,158.83749054687416,2,4,1,3052.21
8,452.03992784791075,2,1,0,3296.98
4,75.74670089625229,2,2,0,391.97
4,478.8410378985532,4,1,1,1522.67
56,170.70402434112935,1,1,1,8474.74
25,446.43376270816697,0,1,0,10674.09
67,309.4125807101415,1,4,0,18280.32
67,416.819532675914,2,3,2,23913.68
27,492.32631834102284,0,3,0,10815.85
32,158.43461015299795,1,4,1,4569.08
50,481.3450329956446,0,4,1,21103.01
61,206.95130955316176,2,2,1,11701.14
51,205.04571427372272,2,1,1,8786.76
19,183.38581004216275,3,4,1,4233.57
21,279.8756515268409,0,2,0,5374.73
5,93.9896207256738,5,3,3,1542.21
42,285.78151297184536,5,3,3,11379.38
61,280.01830995680194,1,3,0,15183.85
22,385.7128700503376,4,3,2,7780.09
21,420.1519817300411,2,2,1,6768.98
